,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
0,1,1,2,4,11,0,0,4,2,4
0.512,2,0,5,7,14,0,1,2,5,8
1.024,1,1,2,4,17,0,0,2,5,10
1.536,0,0,3,9,13,0,2,2,4,5
2.048,0,1,3,9,19,0,1,3,1,9
2.56,1,0,0,6,14,0,0,0,3,9
3.072,0,1,4,4,28,0,0,1,4,6
3.584,0,0,1,5,11,0,1,3,5,11
4.096,0,0,2,5,11,0,0,2,0,6
4.608,0,0,2,13,10,1,0,4,2,4
5.12,0,1,2,2,9,1,1,1,9,6
5.632,2,0,4,9,12,1,0,5,4,5
6.144,2,6,4,10,16,0,1,3,4,6
6.656,3,6,9,11,23,0,0,1,4,14
7.168,8,10,13,12,20,0,1,3,5,7
7.68,14,11,18,28,25,0,0,0,5,3
8.192,22,18,29,33,42,0,1,3,6,8
8.704,29,23,36,37,50,0,0,2,0,4
9.216,44,54,65,83,75,1,0,1,2,5
9.728,78,66,72,66,82,1,0,1,6,7
10.24,78,72,74,94,97,0,0,4,4,6
10.752,75,78,83,90,80,1,0,1,3,5
11.264,87,86,70,100,87,0,0,4,2,11
11.776,70,79,84,94,80,2,0,4,2,11
12.288,66,100,84,76,68,0,0,2,3,8
12.8,81,82,72,80,83,0,0,1,3,9
13.312,84,69,83,82,72,0,1,4,1,4
13.824,76,79,72,69,72,1,1,1,4,7
14.336,100,79,100,86,67,1,0,3,8,7
14.848,72,74,78,82,79,1,0,2,2,9
15.36,87,83,72,93,72,0,1,3,4,12
15.872,73,71,88,65,73,1,1,5,2,2
16.384,69,84,66,78,91,0,0,1,3,6
16.896,72,76,59,79,60,1,1,4,8,5
17.408,65,73,74,74,80,0,1,3,2,7
17.92,70,65,77,79,91,1,1,1,4,7
18.432,72,76,68,89,59,0,1,1,6,4
18.944,56,75,66,65,65,0,1,2,7,9
19.456,62,50,83,69,76,0,3,1,5,11
19.968,64,65,85,71,52,1,0,1,4,6
20.48,67,76,68,80,72,0,1,2,3,7
20.992,65,58,60,65,60,0,0,3,1,10
21.504,78,66,65,84,52,0,1,1,5,4
22.016,68,63,74,72,57,0,0,5,2,7
