#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
0	0	4	2	4	
0	1	2	5	8	
0	0	2	5	10	
0	2	2	4	5	
0	1	3	1	9	
0	0	0	3	9	
0	0	1	4	6	
0	1	3	5	11	
0	0	2	0	6	
1	0	4	2	4	
1	1	1	9	6	
1	0	5	4	5	
0	1	3	4	6	
0	0	1	4	14	
0	1	3	5	7	
0	0	0	5	3	
0	1	3	6	8	
0	0	2	0	4	
1	0	1	2	5	
1	0	1	6	7	
0	0	4	4	6	
1	0	1	3	5	
0	0	4	2	11	
2	0	4	2	11	
0	0	2	3	8	
0	0	1	3	9	
0	1	4	1	4	
1	1	1	4	7	
1	0	3	8	7	
1	0	2	2	9	
0	1	3	4	12	
1	1	5	2	2	
0	0	1	3	6	
1	1	4	8	5	
0	1	3	2	7	
1	1	1	4	7	
0	1	1	6	4	
0	1	2	7	9	
0	3	1	5	11	
1	0	1	4	6	
0	1	2	3	7	
0	0	3	1	10	
0	1	1	5	4	
0	0	5	2	7	
2	1	4	5	9	
1	0	3	1	9	
0	2	3	1	10	
0	1	0	3	9	
0	0	2	4	11	
0	0	1	2	4	
1	0	5	3	7	
0	1	3	1	8	
1	1	1	5	7	
1	1	2	5	9	
2	0	3	3	13	
1	2	7	12	15	
7	5	8	9	15	
9	5	12	21	16	
13	15	16	14	20	
28	14	33	30	35	
38	29	47	45	45	
39	60	87	100	100	
65	90	78	89	86	
80	82	80	72	91	
80	87	93	87	78	
73	72	84	69	70	
84	74	85	86	65	
76	79	98	82	65	
88	84	89	91	59	
100	100	89	75	56	
96	91	99	76	61	
90	100	82	80	58	
93	97	79	87	51	
100	91	91	90	53	
87	72	73	61	53	
70	81	85	80	39	
85	94	87	67	52	
86	72	85	71	48	
78	82	85	68	65	
88	81	81	66	41	
83	82	78	50	54	
91	76	86	76	40	
73	78	77	69	54	
72	75	75	60	54	
76	77	85	61	57	
79	75	73	68	56	
78	74	99	53	45	
73	84	92	58	43	
91	60	90	66	40	
66	87	72	72	44	
83	67	71	57	38	
92	68	74	79	52	
74	56	67	61	53	
71	72	81	67	45	
70	74	81	72	52	
99	68	77	64	45	
65	65	72	48	67	
71	61	81	58	64	
80	67	73	53	44	
78	75	71	61	53	
75	68	86	60	51	
65	64	79	62	34	
82	63	75	65	38	
69	81	60	60	37	
71	87	70	56	47	
67	63	88	67	47	
66	62	100	66	54	
79	81	76	60	32	
77	79	91	71	39	
73	68	76	64	40	
58	55	74	61	40	
71	69	89	47	38	
81	57	94	67	52	
87	71	78	81	48	
77	63	62	66	47	
78	76	87	51	59	
72	70	66	55	47	
47	65	66	71	55	
77	78	77	63	55	
75	65	79	44	41	
75	58	73	56	53	
57	73	78	58	44	
59	78	65	63	31	
65	73	65	70	59	
73	69	67	63	45	
66	72	99	49	46	
70	51	74	53	51	
57	61	52	58	51	
83	80	65	72	47	
74	65	62	57	48	
76	52	83	72	38	
69	71	73	71	36	
65	83	80	53	48	
56	68	63	53	37	
54	64	74	56	35	
75	60	91	52	45	
63	76	67	56	59	
52	57	82	55	59	
70	72	76	53	50	
80	71	81	67	42	
70	74	73	62	46	
59	75	74	46	38	
61	72	88	79	40	
80	72	69	48	49	
70	67	66	51	30	
82	63	58	50	45	
54	56	78	50	46	
73	69	86	76	36	
70	51	71	73	53	
70	75	82	59	54	
86	62	78	55	41	
75	80	75	55	34	
60	72	75	48	37	
69	81	76	51	25	
71	72	71	56	38	
59	66	72	56	47	
71	60	69	62	64	
72	52	78	59	44	
71	71	70	59	43	
70	63	62	60	22	
63	65	71	77	48	
64	74	77	45	50	
77	65	76	54	50	
73	54	59	47	40	
61	48	64	57	48	
71	80	85	77	53	
55	65	73	68	38	
63	79	78	55	40	
53	52	74	55	31	
57	73	75	54	51	
64	71	62	50	43	
66	70	66	70	49	
66	69	71	51	45	
60	64	81	58	38	
59	57	67	59	40	
65	66	73	70	40	
66	57	65	53	43	
59	56	66	59	36	
62	65	69	64	57	
66	56	58	47	47	
74	52	77	56	46	
78	48	71	52	36	
