#PicoHarp 300  Histogram Data			04/11/2023 03:56:27 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
1	1	2	4	11	
2	0	5	7	14	
1	1	2	4	17	
0	0	3	9	13	
0	1	3	9	19	
1	0	0	6	14	
0	1	4	4	28	
0	0	1	5	11	
0	0	2	5	11	
0	0	2	13	10	
0	1	2	2	9	
2	0	4	9	12	
2	6	4	10	16	
3	6	9	11	23	
8	10	13	12	20	
14	11	18	28	25	
22	18	29	33	42	
29	23	36	37	50	
44	54	65	83	75	
78	66	72	66	82	
78	72	74	94	97	
75	78	83	90	80	
87	86	70	100	87	
70	79	84	94	80	
66	100	84	76	68	
81	82	72	80	83	
84	69	83	82	72	
76	79	72	69	72	
100	79	100	86	67	
72	74	78	82	79	
87	83	72	93	72	
73	71	88	65	73	
69	84	66	78	91	
72	76	59	79	60	
65	73	74	74	80	
70	65	77	79	91	
72	76	68	89	59	
56	75	66	65	65	
62	50	83	69	76	
64	65	85	71	52	
67	76	68	80	72	
65	58	60	65	60	
78	66	65	84	52	
68	63	74	72	57	
64	74	70	72	65	
63	75	73	66	58	
55	70	65	85	56	
58	77	79	67	58	
59	58	69	68	59	
68	72	67	77	74	
72	82	71	67	64	
58	59	69	58	61	
71	79	53	69	77	
60	75	64	62	56	
83	67	64	70	63	
54	67	64	64	63	
59	78	76	71	67	
74	63	55	70	63	
61	57	61	64	63	
55	84	72	69	73	
57	61	70	82	62	
52	59	54	66	55	
58	67	70	57	74	
55	70	68	60	69	
66	76	74	78	55	
60	68	70	84	70	
70	66	67	65	50	
62	56	70	86	74	
63	52	75	62	58	
41	61	64	52	65	
58	65	64	73	58	
55	54	61	56	52	
54	79	61	75	65	
44	62	79	65	53	
58	66	58	73	64	
44	78	54	77	54	
46	54	46	79	50	
56	63	54	59	56	
49	56	67	83	57	
62	52	68	51	70	
66	72	58	67	67	
59	65	54	70	85	
52	69	68	76	59	
61	74	66	73	68	
50	63	61	65	56	
48	60	72	59	62	
57	51	51	66	85	
55	55	57	59	79	
51	63	64	70	58	
46	51	69	58	59	
49	70	68	74	58	
60	56	66	63	63	
59	59	53	67	60	
57	73	74	60	69	
64	67	66	64	68	
60	60	69	84	55	
48	52	64	70	58	
53	65	79	72	57	
58	73	68	60	71	
52	57	66	71	50	
53	64	77	79	64	
40	56	70	64	61	
43	51	51	69	68	
53	55	67	76	62	
53	62	60	59	56	
40	65	61	66	64	
53	51	59	51	56	
42	55	59	64	57	
52	74	67	62	62	
36	61	57	67	51	
49	55	59	64	57	
59	54	58	68	51	
53	58	54	58	69	
43	52	55	72	55	
42	54	73	72	53	
53	54	64	70	60	
49	61	54	73	44	
58	67	80	53	62	
51	45	59	60	61	
55	65	66	73	55	
49	59	54	57	67	
57	58	58	53	65	
44	44	71	57	67	
42	50	69	72	68	
52	60	67	64	44	
40	72	74	74	56	
54	47	57	58	52	
38	67	53	61	48	
41	45	55	65	75	
52	54	70	49	55	
41	69	63	58	59	
40	64	65	54	58	
57	55	62	62	65	
46	58	58	58	58	
58	49	74	51	54	
41	68	70	68	45	
44	55	53	58	51	
37	60	60	73	60	
56	63	61	60	58	
43	62	65	63	59	
40	56	52	58	59	
45	58	71	53	76	
36	62	43	61	59	
41	49	66	64	70	
40	55	70	66	54	
49	67	57	64	85	
40	67	67	46	61	
45	59	52	58	71	
40	56	58	49	60	
44	33	54	59	67	
47	45	54	63	60	
44	48	57	56	68	
53	45	60	64	51	
48	54	60	63	65	
48	61	58	75	62	
39	50	61	76	52	
48	57	59	49	55	
40	39	51	58	44	
41	57	63	69	69	
44	58	67	59	61	
40	54	66	59	68	
42	50	73	64	50	
39	52	70	71	58	
47	61	63	79	45	
39	61	57	49	64	
41	58	51	58	57	
46	57	65	71	67	
41	61	68	65	51	
46	48	53	60	48	
39	52	60	61	56	
36	53	44	67	52	
45	59	78	69	51	
40	50	55	76	64	
45	47	49	73	45	
45	61	54	55	67	
31	53	60	54	48	
46	46	53	71	57	
40	53	70	63	64	
55	47	67	83	60	
26	43	61	64	55	
42	66	70	51	55	
40	57	68	86	57	
