Time (ns),Br25 ref,Br25 IMN,Br25 EDA,EDA ref,EDA IMN,EDA EDA,IMN ref,IMN IMN,IMN EDA
0,1,4,1,5,5,2,0,4,6
0.128,1,2,2,2,2,2,4,5,3
0.256,1,3,2,1,3,2,1,1,1
0.384,4,4,3,1,5,2,0,1,1
0.512,2,1,3,4,1,1,0,5,6
0.64,3,1,2,1,0,0,2,1,2
0.768,3,0,1,4,3,0,2,2,1
0.896,4,3,0,1,1,1,3,2,7
1.024,3,0,2,1,3,3,1,5,4
1.152,3,0,1,1,1,0,1,3,5
1.28,2,1,3,4,3,2,4,6,5
1.408,2,2,4,3,5,2,2,6,2
1.536,1,2,4,0,1,1,1,0,3
1.664,2,2,4,2,1,2,0,5,1
1.792,0,3,3,0,1,3,0,4,2
1.92,1,4,4,3,1,2,2,4,1
2.048,1,4,3,0,2,5,3,3,5
2.176,2,1,2,3,3,0,4,8,3
2.304,2,6,2,3,0,0,1,3,2
2.432,3,2,3,2,3,2,2,8,0
2.56,4,0,1,6,2,5,1,4,5
2.688,2,2,1,5,2,2,3,4,5
2.816,4,1,1,3,4,2,1,2,3
2.944,2,1,0,4,2,1,2,2,7
3.072,2,4,0,2,0,2,3,2,1
3.2,1,3,1,2,3,3,3,2,5
3.328,1,2,1,6,2,3,1,2,5
3.456,3,3,1,2,4,0,2,6,1
3.584,0,3,1,2,3,2,3,5,0
3.712,2,0,4,4,3,2,4,2,5
3.84,2,2,2,7,2,2,1,4,4
3.968,2,6,5,4,4,3,2,2,4
4.096,2,2,4,2,5,0,1,5,2
4.224,3,2,0,3,0,3,3,2,4
4.352,3,1,1,7,1,0,4,1,3
4.48,4,2,4,6,2,1,3,3,5
4.608,2,1,1,4,4,4,5,2,3
4.736,1,4,4,2,4,2,0,6,2
4.864,1,3,3,1,2,3,1,2,4
4.992,0,0,4,0,5,2,4,5,4
5.12,1,3,3,2,3,3,5,3,3
5.248,0,2,1,4,6,1,1,5,2
5.376,0,4,2,2,3,3,0,3,2
5.504,1,2,3,4,1,2,3,2,5
5.632,0,2,4,5,2,0,3,4,5
5.76,2,4,1,3,2,2,2,4,3
5.888,2,1,5,3,3,0,1,5,4
6.016,3,3,5,2,0,2,2,5,2
6.144,3,2,3,4,1,2,2,5,1
6.272,4,4,2,2,2,0,1,5,3
6.4,0,1,2,2,1,1,3,6,5
6.528,4,3,2,6,4,1,2,1,5
6.656,2,1,3,3,1,2,1,1,6
6.784,5,2,0,2,1,2,3,6,2
6.912,0,1,1,2,0,0,2,2,1
7.04,1,1,1,2,1,3,3,2,4
7.168,6,2,1,2,0,2,3,4,2
7.296,2,3,4,6,1,1,2,4,4
7.424,2,3,1,1,1,3,0,1,3
