Time (ns),Counts
0,1
0.128,2
0.256,2
0.384,3
0.512,3
0.64,2
0.768,1
0.896,0
1.024,2
1.152,1
1.28,3
1.408,4
1.536,4
1.664,4
1.792,3
1.92,4
2.048,3
2.176,2
2.304,2
2.432,3
2.56,1
2.688,1
2.816,1
2.944,0
3.072,0
3.2,1
3.328,1
3.456,1
3.584,1
3.712,4
3.84,2
3.968,5
4.096,4
4.224,0
4.352,1
4.48,4
4.608,1
4.736,4
4.864,3
4.992,4
5.12,3
5.248,1
5.376,2
5.504,3
5.632,4
5.76,1
5.888,5
6.016,5
6.144,3
6.272,2
6.4,2
6.528,2
6.656,3
6.784,0
6.912,1
7.04,1
7.168,1
7.296,4
7.424,1
7.552,0
7.68,1
7.808,8
7.936,5
8.064,5
8.192,2
8.32,3
8.448,2
8.576,1
8.704,5
8.832,2
8.96,4
9.088,1
9.216,0
9.344,5
9.472,11
9.6,3
9.728,4
9.856,1
9.984,1
10.112,2
10.24,4
10.368,4
10.496,3
10.624,2
10.752,1
10.88,1
11.008,2
11.136,2
11.264,3
11.392,2
11.52,7
11.648,4
11.776,3
11.904,2
12.032,2
12.16,3
12.288,3
12.416,2
12.544,1
12.672,4
12.8,2
12.928,0
13.056,2
13.184,5
13.312,4
13.44,2
13.568,1
13.696,3
13.824,1
13.952,5
14.08,1
14.208,1
14.336,2
14.464,2
14.592,1
14.72,5
14.848,2
14.976,4
15.104,1
15.232,0
15.36,2
15.488,2
15.616,0
15.744,3
15.872,6
16,2
16.128,4
16.256,1
16.384,6
16.512,2
16.64,2
16.768,3
16.896,4
17.024,1
17.152,2
17.28,2
17.408,2
17.536,6
17.664,6
17.792,6
17.92,6
18.048,5
18.176,2
18.304,1
18.432,2
18.56,2
18.688,3
18.816,0
18.944,1
19.072,3
19.2,3
19.328,0
19.456,1
19.584,2
19.712,2
19.84,3
19.968,3
20.096,3
20.224,2
20.352,1
20.48,5
20.608,3
20.736,2
20.864,2
20.992,3
21.12,1
21.248,3
21.376,3
21.504,1
21.632,2
21.76,0
21.888,0
22.016,4
22.144,5
22.272,3
22.4,3
22.528,3
22.656,1
22.784,3
22.912,3
23.04,3
23.168,4
23.296,2
23.424,1
23.552,3
23.68,1
23.808,2
23.936,2
24.064,0
24.192,4
24.32,2
24.448,0
24.576,3
24.704,1
24.832,1
24.96,2
25.088,4
25.216,3
25.344,0
25.472,1
25.6,1
25.728,1
25.856,5
25.984,7
26.112,5
26.24,3
26.368,1
26.496,0
26.624,6
26.752,3
26.88,1
27.008,5
27.136,5
27.264,6
27.392,2
27.52,4
27.648,5
27.776,4
27.904,4
28.032,3
