Time (ns),Counts
0,4
0.128,2
0.256,3
0.384,4
0.512,1
0.64,1
0.768,0
0.896,3
1.024,0
1.152,0
1.28,1
1.408,2
1.536,2
1.664,2
1.792,3
1.92,4
2.048,4
2.176,1
2.304,6
2.432,2
2.56,0
2.688,2
2.816,1
2.944,1
3.072,4
3.2,3
3.328,2
3.456,3
3.584,3
3.712,0
3.84,2
3.968,6
4.096,2
4.224,2
4.352,1
4.48,2
4.608,1
4.736,4
4.864,3
4.992,0
5.12,3
5.248,2
5.376,4
5.504,2
5.632,2
5.76,4
5.888,1
6.016,3
6.144,2
6.272,4
6.4,1
6.528,3
6.656,1
6.784,2
6.912,1
7.04,1
7.168,2
7.296,3
7.424,3
7.552,6
7.68,2
7.808,3
7.936,3
8.064,0
8.192,2
8.32,1
8.448,4
8.576,3
8.704,3
8.832,1
8.96,4
9.088,2
9.216,2
9.344,3
9.472,1
9.6,4
9.728,2
9.856,1
9.984,3
10.112,2
10.24,3
10.368,5
10.496,0
10.624,1
10.752,1
10.88,1
11.008,4
11.136,2
11.264,2
11.392,3
11.52,5
11.648,2
11.776,2
11.904,0
12.032,1
12.16,0
12.288,3
12.416,1
12.544,1
12.672,2
12.8,1
12.928,1
13.056,6
13.184,1
13.312,3
13.44,0
13.568,0
13.696,1
13.824,3
13.952,1
14.08,2
14.208,0
14.336,1
14.464,2
14.592,0
14.72,4
14.848,2
14.976,3
15.104,2
15.232,4
15.36,1
15.488,1
15.616,3
15.744,3
15.872,3
16,1
16.128,4
16.256,1
16.384,1
16.512,5
16.64,4
16.768,2
16.896,3
17.024,3
17.152,3
17.28,3
17.408,0
17.536,3
17.664,1
17.792,1
17.92,2
18.048,3
18.176,2
18.304,6
18.432,0
18.56,3
18.688,1
18.816,2
18.944,2
19.072,8
19.2,1
19.328,0
19.456,7
19.584,5
19.712,1
19.84,6
19.968,3
20.096,5
20.224,3
20.352,3
20.48,2
20.608,4
20.736,1
20.864,4
20.992,1
21.12,3
21.248,2
21.376,2
21.504,3
21.632,6
21.76,3
21.888,2
22.016,2
22.144,2
22.272,7
22.4,1
22.528,3
22.656,6
22.784,1
22.912,2
23.04,2
23.168,1
23.296,4
23.424,1
23.552,0
23.68,1
23.808,5
23.936,5
24.064,2
24.192,2
24.32,2
24.448,4
24.576,4
24.704,5
24.832,1
24.96,3
25.088,2
25.216,4
25.344,3
25.472,1
25.6,2
25.728,2
25.856,1
25.984,2
26.112,0
26.24,2
26.368,2
26.496,1
26.624,6
26.752,2
26.88,0
27.008,5
27.136,1
27.264,0
27.392,4
27.52,0
27.648,0
27.776,2
27.904,3
28.032,2
28.16,3
28.288,4
28.416,3
28.544,1
28.672,2
28.8,4
28.928,1
29.056,1
29.184,0
29.312,2
29.44,2
29.568,0
29.696,2
29.824,3
29.952,1
30.08,1
30.208,5
30.336,3
30.464,0
30.592,7
30.72,6
30.848,8
30.976,12
31.104,35
31.232,46
31.36,61
31.488,98
31.616,146
31.744,161
31.872,192
32,213
32.128,221
32.256,252
32.384,247
32.512,249
32.64,249
32.768,210
32.896,207
33.024,211
33.152,213
33.28,194
33.408,182
33.536,184
