Time (ns),Counts
0,1
0.128,1
0.256,1
0.384,4
0.512,2
0.64,3
0.768,3
0.896,4
1.024,3
1.152,3
1.28,2
1.408,2
1.536,1
1.664,2
1.792,0
1.92,1
2.048,1
2.176,2
2.304,2
2.432,3
2.56,4
2.688,2
2.816,4
2.944,2
3.072,2
3.2,1
3.328,1
3.456,3
3.584,0
3.712,2
3.84,2
3.968,2
4.096,2
4.224,3
4.352,3
4.48,4
4.608,2
4.736,1
4.864,1
4.992,0
5.12,1
5.248,0
5.376,0
5.504,1
5.632,0
5.76,2
5.888,2
6.016,3
6.144,3
6.272,4
6.4,0
6.528,4
6.656,2
6.784,5
6.912,0
7.04,1
7.168,6
7.296,2
7.424,2
7.552,5
7.68,2
7.808,2
7.936,0
8.064,3
8.192,5
8.32,3
8.448,4
8.576,2
8.704,1
8.832,4
8.96,0
9.088,2
9.216,4
9.344,2
9.472,3
9.6,2
9.728,2
9.856,1
9.984,3
10.112,3
10.24,2
10.368,2
10.496,3
10.624,0
10.752,3
10.88,5
11.008,2
11.136,1
11.264,2
11.392,3
11.52,2
11.648,0
11.776,2
11.904,1
12.032,4
12.16,3
12.288,2
12.416,3
12.544,2
12.672,4
12.8,4
12.928,1
13.056,2
13.184,3
13.312,0
13.44,3
13.568,2
13.696,1
13.824,3
13.952,1
14.08,1
14.208,5
14.336,1
14.464,2
14.592,3
14.72,0
14.848,0
14.976,1
15.104,0
15.232,4
15.36,3
15.488,3
15.616,3
15.744,1
15.872,3
16,0
16.128,0
16.256,2
16.384,3
16.512,1
16.64,2
16.768,2
16.896,1
17.024,2
17.152,1
17.28,0
17.408,0
17.536,0
17.664,2
17.792,1
17.92,0
18.048,3
18.176,2
18.304,3
18.432,5
18.56,3
18.688,2
18.816,3
18.944,1
19.072,1
19.2,5
19.328,5
19.456,2
19.584,4
19.712,2
19.84,3
19.968,3
20.096,5
20.224,1
20.352,4
20.48,1
20.608,3
20.736,1
20.864,1
20.992,0
21.12,1
21.248,0
21.376,4
21.504,5
21.632,1
21.76,2
21.888,3
22.016,3
22.144,4
22.272,0
22.4,3
22.528,0
22.656,2
22.784,3
22.912,1
23.04,0
23.168,2
23.296,2
23.424,4
23.552,3
23.68,2
23.808,1
23.936,6
24.064,1
24.192,0
24.32,2
24.448,2
24.576,3
24.704,4
24.832,1
24.96,2
25.088,2
25.216,1
25.344,3
25.472,5
25.6,2
25.728,3
25.856,2
25.984,2
26.112,2
26.24,2
26.368,2
26.496,2
26.624,1
26.752,0
26.88,4
27.008,2
27.136,0
27.264,1
27.392,1
27.52,3
27.648,1
27.776,2
27.904,6
28.032,4
28.16,0
28.288,2
28.416,4
28.544,6
28.672,4
28.8,2
28.928,1
29.056,3
29.184,2
29.312,1
29.44,0
29.568,1
29.696,0
29.824,5
29.952,1
30.08,2
30.208,1
30.336,2
30.464,1
30.592,5
30.72,9
30.848,4
30.976,12
31.104,16
31.232,36
31.36,63
31.488,70
31.616,105
31.744,129
31.872,153
32,142
32.128,153
32.256,135
32.384,131
32.512,131
32.64,110
32.768,125
32.896,99
33.024,108
33.152,98
33.28,117
33.408,90
33.536,89
33.664,93
33.792,88
33.92,77
34.048,100
34.176,84
34.304,81
34.432,86
34.56,104
34.688,87
34.816,71
34.944,66
35.072,74
35.2,67
35.328,78
35.456,91
35.584,70
35.712,72
35.84,71
35.968,67
36.096,73
36.224,68
36.352,86
36.48,76
36.608,66
36.736,75
36.864,57
36.992,74
37.12,68
37.248,64
37.376,69
37.504,53
37.632,60
37.76,52
37.888,58
38.016,52
38.144,66
38.272,51
38.4,66
38.528,62
38.656,40
38.784,59
38.912,60
39.04,53
39.168,53
39.296,52
39.424,53
39.552,51
39.68,47
39.808,52
39.936,54
40.064,49
40.192,51
40.32,54
40.448,47
40.576,60
40.704,53
40.832,61
40.96,45
41.088,55
41.216,59
41.344,70
41.472,42
41.6,46
41.728,37
41.856,45
41.984,56
42.112,61
42.24,46
42.368,45
42.496,55
42.624,46
42.752,47
42.88,51
43.008,51
43.136,54
43.264,49
43.392,38
43.52,38
43.648,49
43.776,45
43.904,48
44.032,27
44.16,53
44.288,45
44.416,36
44.544,48
44.672,42
44.8,39
44.928,48
45.056,53
45.184,51
45.312,45
45.44,43
45.568,43
45.696,51
45.824,43
45.952,33
46.08,47
46.208,49
46.336,47
46.464,36
46.592,32
46.72,25
46.848,50
46.976,33
47.104,40
47.232,32
47.36,58
47.488,39
47.616,36
47.744,50
47.872,44
48,37
48.128,49
48.256,36
48.384,43
48.512,38
48.64,25
48.768,34
48.896,43
49.024,41
49.152,51
49.28,40
49.408,54
49.536,32
49.664,34
49.792,45
49.92,34
50.048,33
50.176,35
50.304,32
50.432,36
50.56,30
50.688,26
50.816,37
50.944,45
51.072,28
51.2,43
51.328,31
51.456,43
51.584,38
51.712,35
51.84,36
51.968,39
52.096,33
52.224,29
52.352,35
52.48,34
52.608,25
52.736,32
52.864,28
52.992,34
53.12,32
53.248,31
53.376,26
53.504,40
53.632,35
53.76,29
53.888,26
54.016,30
54.144,40
54.272,24
54.4,37
54.528,43
54.656,33
54.784,37
54.912,38
55.04,21
55.168,32
55.296,37
55.424,27
55.552,32
55.68,29
55.808,33
55.936,33
56.064,33
56.192,28
56.32,20
56.448,30
56.576,25
56.704,23
56.832,30
56.96,35
57.088,31
57.216,27
57.344,39
57.472,36
57.6,29
57.728,33
57.856,33
57.984,30
58.112,24
58.24,37
58.368,32
58.496,33
58.624,32
58.752,19
58.88,34
59.008,26
59.136,34
59.264,17
59.392,23
59.52,20
59.648,27
59.776,24
59.904,41
60.032,26
60.16,26
60.288,30
60.416,26
60.544,27
60.672,29
60.8,22
60.928,23
61.056,30
61.184,20
61.312,28
61.44,36
61.568,26
61.696,36
61.824,25
61.952,32
62.08,28
62.208,28
62.336,19
62.464,27
62.592,29
62.72,23
62.848,29
62.976,20
63.104,23
63.232,26
63.36,22
63.488,25
63.616,40
63.744,20
63.872,24
64,18
64.128,27
64.256,17
64.384,30
64.512,30
64.64,30
64.768,34
64.896,15
65.024,20
65.152,23
65.28,19
65.408,23
65.536,31
65.664,21
65.792,25
65.92,21
66.048,31
66.176,30
66.304,29
66.432,20
66.56,26
66.688,21
66.816,17
66.944,19
67.072,22
67.2,21
67.328,24
67.456,27
67.584,31
67.712,30
67.84,17
67.968,23
68.096,24
68.224,22
68.352,14
68.48,21
68.608,24
68.736,29
68.864,25
68.992,29
69.12,19
69.248,17
69.376,22
69.504,26
69.632,16
69.76,20
69.888,18
70.016,17
70.144,19
70.272,17
70.4,23
70.528,17
70.656,23
70.784,17
70.912,20
71.04,21
71.168,18
71.296,22
71.424,19
71.552,23
71.68,24
71.808,26
71.936,18
72.064,20
72.192,31
72.32,15
72.448,21
72.576,19
72.704,26
72.832,15
72.96,27
73.088,19
73.216,19
73.344,21
73.472,16
73.6,17
73.728,21
73.856,18
73.984,18
74.112,24
74.24,14
74.368,19
74.496,21
74.624,23
74.752,20
74.88,21
75.008,16
75.136,24
75.264,17
75.392,22
75.52,20
75.648,19
75.776,17
75.904,13
76.032,18
76.16,20
76.288,15
76.416,17
76.544,30
76.672,18
76.8,24
76.928,16
77.056,21
77.184,16
77.312,17
77.44,18
77.568,14
77.696,18
77.824,14
77.952,24
78.08,18
78.208,18
78.336,21
78.464,19
78.592,28
78.72,26
78.848,18
78.976,14
79.104,18
79.232,28
79.36,21
79.488,28
79.616,14
79.744,21
79.872,25
80,16
80.128,15
80.256,18
80.384,18
80.512,33
80.64,14
80.768,23
80.896,14
81.024,21
81.152,15
81.28,25
81.408,20
81.536,18
81.664,17
81.792,14
81.92,14
82.048,13
82.176,14
82.304,18
82.432,16
82.56,12
82.688,20
82.816,13
82.944,12
83.072,22
83.2,11
83.328,17
83.456,14
83.584,22
83.712,17
83.84,16
83.968,17
84.096,20
84.224,11
84.352,14
84.48,11
84.608,24
84.736,10
84.864,15
84.992,23
85.12,15
85.248,17
85.376,11
85.504,19
85.632,15
85.76,21
85.888,17
86.016,16
86.144,12
86.272,17
86.4,12
86.528,18
86.656,17
86.784,9
86.912,16
87.04,12
87.168,12
87.296,14
87.424,15
87.552,17
87.68,12
87.808,13
87.936,17
88.064,15
88.192,19
88.32,16
88.448,20
88.576,9
88.704,18
88.832,16
88.96,12
89.088,20
89.216,9
89.344,14
89.472,20
89.6,9
89.728,12
89.856,14
89.984,12
90.112,9
90.24,12
90.368,16
90.496,21
90.624,15
90.752,15
90.88,13
91.008,15
91.136,14
91.264,11
91.392,16
91.52,12
91.648,11
91.776,11
91.904,14
92.032,13
92.16,12
92.288,11
92.416,14
92.544,13
92.672,15
92.8,12
92.928,12
93.056,15
93.184,18
93.312,19
93.44,12
93.568,16
93.696,14
93.824,16
93.952,18
94.08,9
94.208,15
94.336,20
94.464,21
94.592,14
94.72,10
94.848,18
94.976,17
95.104,14
95.232,14
95.36,17
95.488,15
95.616,15
95.744,22
95.872,11
96,13
96.128,13
96.256,20
96.384,16
96.512,10
96.64,13
96.768,12
96.896,17
97.024,16
97.152,12
97.28,13
97.408,9
97.536,16
97.664,10
97.792,10
97.92,12
98.048,18
98.176,12
98.304,12
98.432,19
98.56,11
98.688,11
98.816,15
98.944,11
99.072,17
99.2,12
99.328,13
99.456,18
99.584,13
99.712,15
99.84,14
99.968,11
