Time (ns),Counts
0,2
0.128,2
0.256,2
0.384,2
0.512,1
0.64,0
0.768,0
0.896,1
1.024,3
1.152,0
1.28,2
1.408,2
1.536,1
1.664,2
1.792,3
1.92,2
2.048,5
2.176,0
2.304,0
2.432,2
2.56,5
2.688,2
2.816,2
2.944,1
3.072,2
3.2,3
3.328,3
3.456,0
3.584,2
3.712,2
3.84,2
3.968,3
4.096,0
4.224,3
4.352,0
4.48,1
4.608,4
4.736,2
4.864,3
4.992,2
5.12,3
5.248,1
5.376,3
5.504,2
5.632,0
5.76,2
5.888,0
6.016,2
6.144,2
6.272,0
6.4,1
6.528,1
6.656,2
6.784,2
6.912,0
7.04,3
7.168,2
7.296,1
7.424,3
7.552,3
7.68,2
7.808,1
7.936,1
8.064,2
8.192,2
8.32,0
8.448,2
8.576,0
8.704,4
8.832,1
8.96,2
9.088,3
9.216,3
9.344,3
9.472,2
9.6,1
9.728,1
9.856,0
9.984,2
10.112,2
10.24,1
10.368,1
10.496,4
10.624,1
10.752,3
10.88,3
11.008,1
11.136,0
11.264,1
11.392,2
11.52,0
11.648,1
11.776,1
11.904,1
12.032,0
12.16,3
12.288,0
12.416,0
12.544,1
12.672,3
12.8,5
12.928,2
13.056,0
13.184,2
13.312,1
13.44,2
13.568,2
13.696,5
13.824,1
13.952,2
14.08,2
14.208,4
14.336,1
14.464,2
14.592,2
14.72,2
14.848,2
14.976,3
15.104,2
15.232,2
15.36,2
15.488,5
15.616,1
15.744,1
15.872,1
16,2
16.128,1
16.256,2
16.384,2
16.512,4
16.64,2
16.768,0
16.896,3
17.024,2
17.152,2
17.28,1
17.408,1
17.536,1
17.664,0
17.792,2
17.92,0
18.048,3
18.176,4
18.304,3
18.432,4
18.56,2
18.688,1
18.816,1
18.944,3
19.072,3
19.2,1
19.328,4
19.456,2
19.584,0
19.712,1
19.84,2
19.968,1
20.096,6
20.224,1
20.352,4
20.48,1
20.608,2
20.736,2
20.864,0
20.992,1
21.12,1
21.248,2
21.376,3
21.504,4
21.632,3
21.76,2
21.888,0
22.016,1
22.144,2
22.272,3
22.4,3
22.528,0
22.656,1
22.784,1
22.912,1
23.04,2
23.168,2
23.296,2
23.424,1
23.552,0
23.68,1
23.808,2
23.936,3
24.064,4
24.192,1
24.32,4
24.448,2
24.576,0
24.704,0
24.832,2
24.96,2
25.088,1
25.216,0
25.344,2
25.472,1
25.6,2
25.728,3
25.856,2
25.984,1
26.112,0
26.24,1
26.368,1
26.496,3
26.624,6
26.752,1
26.88,1
27.008,5
27.136,4
27.264,1
27.392,1
27.52,1
27.648,1
27.776,4
27.904,2
28.032,2
28.16,0
28.288,1
28.416,3
28.544,0
28.672,0
28.8,3
28.928,1
29.056,0
29.184,0
29.312,1
29.44,1
29.568,3
29.696,3
29.824,6
29.952,0
30.08,1
30.208,4
30.336,0
30.464,4
30.592,0
30.72,4
30.848,5
30.976,12
31.104,19
31.232,33
31.36,52
31.488,86
31.616,135
31.744,151
31.872,178
32,207
32.128,216
32.256,236
32.384,211
32.512,235
32.64,235
32.768,253
32.896,238
33.024,204
33.152,229
33.28,248
33.408,239
33.536,225
33.664,232
33.792,220
33.92,210
34.048,215
34.176,238
34.304,180
34.432,199
34.56,187
34.688,202
34.816,192
34.944,197
35.072,194
35.2,209
35.328,174
35.456,188
35.584,194
35.712,198
35.84,180
35.968,182
36.096,199
36.224,177
36.352,197
36.48,164
36.608,176
36.736,208
36.864,176
36.992,190
37.12,168
37.248,183
37.376,184
37.504,194
37.632,165
37.76,164
37.888,185
38.016,175
38.144,164
38.272,180
38.4,181
38.528,177
38.656,194
38.784,181
38.912,169
39.04,208
39.168,156
39.296,157
39.424,179
39.552,158
39.68,174
39.808,166
39.936,171
40.064,159
40.192,168
40.32,150
40.448,155
40.576,146
40.704,178
40.832,152
40.96,147
41.088,149
41.216,133
41.344,149
41.472,165
41.6,138
41.728,146
41.856,136
41.984,153
42.112,147
42.24,135
42.368,163
42.496,145
42.624,134
42.752,149
42.88,132
43.008,135
43.136,154
43.264,139
43.392,130
43.52,126
43.648,145
43.776,133
43.904,139
44.032,142
44.16,137
44.288,146
44.416,131
44.544,139
44.672,142
44.8,123
44.928,121
45.056,129
45.184,130
45.312,145
45.44,134
45.568,131
45.696,133
45.824,156
45.952,149
46.08,137
46.208,143
46.336,148
46.464,154
46.592,142
46.72,140
46.848,113
46.976,141
47.104,137
47.232,133
47.36,124
47.488,125
47.616,157
47.744,121
47.872,131
48,143
48.128,143
48.256,117
48.384,114
48.512,112
48.64,134
48.768,140
48.896,122
49.024,152
49.152,125
49.28,148
49.408,109
49.536,103
49.664,129
49.792,115
49.92,115
50.048,126
50.176,110
50.304,150
50.432,122
50.56,108
50.688,124
50.816,119
50.944,117
51.072,113
51.2,107
51.328,127
51.456,115
51.584,128
51.712,117
51.84,102
51.968,119
52.096,143
52.224,111
52.352,120
52.48,98
52.608,106
52.736,140
52.864,112
52.992,114
53.12,108
53.248,128
53.376,132
53.504,115
53.632,111
53.76,134
53.888,119
54.016,113
54.144,120
54.272,108
54.4,97
54.528,119
54.656,91
54.784,109
54.912,130
55.04,108
55.168,105
55.296,110
55.424,101
55.552,124
55.68,118
55.808,95
55.936,131
56.064,100
56.192,90
56.32,97
56.448,99
56.576,120
56.704,107
56.832,123
56.96,103
57.088,123
57.216,89
57.344,103
57.472,104
57.6,123
57.728,109
57.856,86
57.984,99
58.112,109
58.24,121
58.368,113
58.496,103
58.624,102
58.752,114
58.88,93
59.008,99
59.136,81
59.264,116
59.392,100
59.52,86
59.648,85
59.776,91
59.904,91
60.032,103
60.16,104
60.288,90
60.416,95
60.544,114
60.672,101
60.8,96
60.928,82
61.056,88
61.184,115
61.312,95
61.44,79
61.568,89
61.696,97
61.824,105
61.952,91
62.08,100
62.208,96
62.336,94
62.464,106
62.592,80
62.72,85
62.848,88
62.976,85
63.104,97
63.232,85
63.36,88
63.488,94
63.616,81
63.744,90
63.872,108
64,103
64.128,92
64.256,82
64.384,83
64.512,78
64.64,91
64.768,76
64.896,93
65.024,92
65.152,91
65.28,93
65.408,88
65.536,100
65.664,87
65.792,88
65.92,84
66.048,65
66.176,108
66.304,91
66.432,75
66.56,83
66.688,90
66.816,77
66.944,97
67.072,80
67.2,95
67.328,82
67.456,83
67.584,73
67.712,93
67.84,66
67.968,95
68.096,88
68.224,84
68.352,89
68.48,69
68.608,79
68.736,84
68.864,70
68.992,87
69.12,84
69.248,66
69.376,92
69.504,91
69.632,92
69.76,101
69.888,83
70.016,81
70.144,73
70.272,88
70.4,78
70.528,65
70.656,75
70.784,79
70.912,78
71.04,80
71.168,87
71.296,65
71.424,81
71.552,71
71.68,75
71.808,69
71.936,81
72.064,86
72.192,87
72.32,89
72.448,77
72.576,73
72.704,90
72.832,74
72.96,82
73.088,83
73.216,66
73.344,64
73.472,49
73.6,71
73.728,96
73.856,76
73.984,78
74.112,68
74.24,89
74.368,76
74.496,78
74.624,81
74.752,80
74.88,88
75.008,74
75.136,71
75.264,67
75.392,70
75.52,85
75.648,87
75.776,74
75.904,73
76.032,81
76.16,69
76.288,57
76.416,86
76.544,68
76.672,90
76.8,63
76.928,79
77.056,53
77.184,74
77.312,78
77.44,66
77.568,62
77.696,78
77.824,82
77.952,77
78.08,67
78.208,62
78.336,77
78.464,83
78.592,73
78.72,83
78.848,64
78.976,69
79.104,77
79.232,68
79.36,63
79.488,81
79.616,71
79.744,84
79.872,72
80,79
80.128,57
80.256,76
80.384,71
80.512,66
80.64,71
80.768,62
80.896,73
81.024,61
81.152,70
81.28,69
81.408,56
81.536,67
81.664,65
81.792,70
81.92,69
82.048,78
82.176,67
82.304,65
82.432,52
82.56,52
82.688,60
82.816,61
82.944,50
83.072,60
83.2,66
83.328,69
83.456,67
83.584,64
83.712,76
83.84,79
83.968,54
84.096,49
84.224,71
84.352,53
84.48,68
84.608,60
84.736,63
84.864,65
84.992,63
85.12,48
85.248,62
85.376,67
85.504,71
85.632,54
85.76,63
85.888,52
86.016,59
86.144,52
86.272,65
86.4,76
86.528,62
86.656,56
86.784,61
86.912,57
87.04,52
87.168,59
87.296,65
87.424,66
87.552,63
87.68,61
87.808,61
87.936,58
88.064,60
88.192,60
88.32,50
88.448,61
88.576,62
88.704,50
88.832,59
88.96,52
89.088,61
89.216,60
89.344,62
89.472,48
89.6,60
89.728,62
89.856,48
89.984,64
90.112,71
90.24,59
90.368,49
90.496,70
90.624,63
90.752,69
90.88,67
91.008,75
91.136,55
91.264,59
91.392,70
91.52,57
91.648,69
91.776,53
91.904,65
92.032,57
92.16,44
92.288,49
92.416,64
92.544,49
92.672,47
92.8,51
92.928,53
93.056,52
93.184,53
93.312,43
93.44,65
93.568,51
93.696,51
93.824,67
93.952,64
94.08,58
94.208,43
94.336,44
94.464,56
94.592,48
94.72,59
94.848,56
94.976,59
95.104,54
95.232,55
95.36,57
95.488,50
95.616,68
95.744,53
95.872,54
96,48
96.128,49
96.256,60
96.384,47
96.512,49
96.64,62
96.768,60
96.896,50
97.024,55
97.152,63
97.28,55
97.408,54
97.536,59
97.664,56
97.792,57
97.92,47
98.048,57
98.176,62
98.304,52
98.432,46
98.56,39
98.688,48
98.816,48
98.944,42
99.072,49
99.2,55
99.328,53
99.456,52
99.584,54
99.712,50
99.84,56
99.968,35
100.096,46
100.224,48
100.352,44
100.48,51
100.608,44
100.736,44
100.864,46
100.992,59
101.12,65
101.248,54
101.376,42
101.504,40
101.632,45
101.76,38
101.888,55
102.016,34
102.144,49
102.272,63
102.4,45
102.528,43
102.656,47
102.784,54
102.912,54
103.04,46
103.168,48
103.296,63
103.424,40
103.552,38
103.68,64
103.808,44
103.936,41
104.064,49
104.192,57
104.32,49
104.448,48
104.576,54
104.704,39
104.832,42
104.96,67
105.088,44
105.216,43
105.344,50
105.472,36
105.6,44
105.728,54
105.856,45
105.984,46
106.112,49
106.24,41
106.368,42
106.496,42
106.624,40
106.752,51
106.88,41
107.008,58
107.136,37
107.264,46
107.392,34
107.52,52
107.648,47
107.776,63
107.904,55
108.032,38
108.16,49
108.288,51
108.416,38
108.544,41
108.672,45
108.8,39
108.928,43
109.056,56
109.184,41
109.312,44
109.44,41
109.568,49
109.696,49
109.824,41
109.952,36
110.08,38
110.208,36
110.336,44
110.464,40
110.592,39
110.72,33
110.848,37
110.976,43
111.104,33
111.232,37
111.36,50
111.488,32
111.616,49
111.744,56
111.872,45
112,47
112.128,42
112.256,43
112.384,44
112.512,50
112.64,46
112.768,42
112.896,31
113.024,47
113.152,31
113.28,46
113.408,50
113.536,41
113.664,33
113.792,27
113.92,40
114.048,52
114.176,44
114.304,38
114.432,38
114.56,49
114.688,43
114.816,35
114.944,38
115.072,42
115.2,36
115.328,45
115.456,40
115.584,47
115.712,41
115.84,45
115.968,47
116.096,50
116.224,39
116.352,47
116.48,34
116.608,27
116.736,53
116.864,44
116.992,42
117.12,55
117.248,46
117.376,37
117.504,38
117.632,47
117.76,42
117.888,32
118.016,43
118.144,31
118.272,35
118.4,41
118.528,28
118.656,42
118.784,44
118.912,49
119.04,41
119.168,39
119.296,35
119.424,43
119.552,33
119.68,38
119.808,36
119.936,38
120.064,38
120.192,30
120.32,31
120.448,38
120.576,33
120.704,47
120.832,45
120.96,45
121.088,50
121.216,37
121.344,38
121.472,37
121.6,38
121.728,39
121.856,44
121.984,39
122.112,46
122.24,29
122.368,43
122.496,39
122.624,45
122.752,36
122.88,37
123.008,33
123.136,33
123.264,39
123.392,26
123.52,31
123.648,31
123.776,36
123.904,36
124.032,39
124.16,39
124.288,31
124.416,44
124.544,35
