Time (ns),Counts
0,5
0.128,2
0.256,3
0.384,5
0.512,1
0.64,0
0.768,3
0.896,1
1.024,3
1.152,1
1.28,3
1.408,5
1.536,1
1.664,1
1.792,1
1.92,1
2.048,2
2.176,3
2.304,0
2.432,3
2.56,2
2.688,2
2.816,4
2.944,2
3.072,0
3.2,3
3.328,2
3.456,4
3.584,3
3.712,3
3.84,2
3.968,4
4.096,5
4.224,0
4.352,1
4.48,2
4.608,4
4.736,4
4.864,2
4.992,5
5.12,3
5.248,6
5.376,3
5.504,1
5.632,2
5.76,2
5.888,3
6.016,0
6.144,1
6.272,2
6.4,1
6.528,4
6.656,1
6.784,1
6.912,0
7.04,1
7.168,0
7.296,1
7.424,1
7.552,1
7.68,2
7.808,3
7.936,2
8.064,6
8.192,4
8.32,3
8.448,3
8.576,1
8.704,2
8.832,3
8.96,3
9.088,2
9.216,2
9.344,2
9.472,5
9.6,5
9.728,1
9.856,3
9.984,2
10.112,1
10.24,3
10.368,0
10.496,1
10.624,5
10.752,2
10.88,3
11.008,1
11.136,1
11.264,4
11.392,2
11.52,4
11.648,1
11.776,0
11.904,2
12.032,4
12.16,3
12.288,8
12.416,3
12.544,3
12.672,6
12.8,0
12.928,3
13.056,2
13.184,2
13.312,2
13.44,1
13.568,2
13.696,2
13.824,7
13.952,4
14.08,3
14.208,2
14.336,2
14.464,1
14.592,2
14.72,0
14.848,1
14.976,2
15.104,2
15.232,3
15.36,2
15.488,2
15.616,1
15.744,0
15.872,3
16,3
16.128,3
16.256,1
16.384,2
16.512,6
16.64,3
16.768,2
16.896,5
17.024,4
17.152,2
17.28,0
17.408,1
17.536,1
17.664,3
17.792,0
17.92,4
18.048,1
18.176,2
18.304,4
18.432,2
18.56,3
18.688,3
18.816,3
18.944,2
19.072,4
19.2,1
19.328,2
19.456,2
19.584,0
19.712,2
19.84,4
19.968,0
20.096,6
20.224,3
20.352,6
20.48,2
20.608,2
20.736,2
20.864,1
20.992,8
21.12,1
21.248,2
21.376,3
21.504,4
21.632,1
21.76,4
21.888,4
22.016,2
22.144,4
22.272,5
22.4,1
22.528,2
22.656,2
22.784,3
22.912,2
23.04,1
23.168,2
23.296,0
23.424,3
23.552,0
23.68,2
23.808,6
23.936,5
24.064,2
24.192,2
24.32,0
24.448,2
24.576,5
24.704,2
24.832,2
24.96,7
25.088,1
25.216,1
25.344,5
25.472,4
25.6,1
25.728,3
25.856,4
25.984,3
26.112,1
26.24,4
26.368,2
26.496,1
26.624,8
26.752,2
26.88,1
27.008,4
27.136,2
27.264,3
27.392,1
27.52,1
27.648,1
27.776,3
27.904,1
28.032,1
28.16,3
28.288,4
28.416,4
28.544,8
28.672,1
28.8,2
28.928,3
29.056,2
29.184,2
29.312,3
29.44,3
29.568,4
29.696,1
29.824,1
29.952,4
30.08,1
30.208,1
30.336,2
30.464,3
30.592,2
30.72,5
30.848,1
30.976,3
31.104,6
31.232,10
31.36,46
31.488,104
31.616,159
31.744,220
31.872,268
32,277
32.128,282
32.256,329
32.384,302
32.512,302
32.64,321
32.768,296
32.896,278
33.024,257
33.152,254
33.28,241
33.408,251
33.536,251
33.664,232
33.792,240
33.92,202
34.048,230
34.176,182
34.304,230
34.432,210
34.56,224
34.688,182
34.816,194
34.944,186
35.072,203
35.2,195
35.328,173
35.456,181
35.584,207
35.712,191
35.84,187
35.968,182
36.096,172
36.224,175
36.352,162
36.48,164
36.608,189
36.736,183
36.864,171
36.992,166
37.12,167
37.248,173
37.376,135
37.504,136
37.632,161
37.76,152
37.888,163
38.016,131
38.144,164
38.272,138
38.4,134
38.528,148
38.656,139
38.784,127
38.912,143
39.04,163
39.168,150
39.296,136
39.424,139
39.552,157
39.68,130
39.808,121
39.936,121
40.064,109
40.192,129
40.32,136
40.448,116
40.576,150
40.704,112
40.832,124
40.96,117
41.088,125
41.216,130
41.344,120
41.472,120
41.6,118
41.728,113
41.856,121
41.984,139
42.112,114
42.24,123
42.368,109
42.496,96
42.624,95
42.752,104
42.88,112
43.008,106
43.136,124
43.264,112
43.392,112
43.52,126
43.648,107
43.776,108
43.904,114
44.032,96
44.16,104
44.288,92
44.416,99
44.544,115
44.672,116
44.8,94
44.928,97
45.056,95
45.184,91
45.312,75
45.44,94
45.568,93
45.696,108
45.824,78
45.952,96
46.08,96
46.208,84
46.336,88
46.464,91
46.592,86
46.72,82
46.848,89
46.976,87
47.104,85
47.232,102
47.36,75
47.488,81
47.616,82
47.744,76
47.872,80
48,83
48.128,71
48.256,75
48.384,88
48.512,84
48.64,73
48.768,78
48.896,73
49.024,70
49.152,76
49.28,89
49.408,70
49.536,69
49.664,66
49.792,74
49.92,71
50.048,83
50.176,67
50.304,67
50.432,70
50.56,80
50.688,60
50.816,69
50.944,80
51.072,80
51.2,64
51.328,73
51.456,47
51.584,62
51.712,62
51.84,53
51.968,83
52.096,61
52.224,70
52.352,69
52.48,66
52.608,51
52.736,68
52.864,66
52.992,61
53.12,66
53.248,64
53.376,58
53.504,64
53.632,56
53.76,55
53.888,67
54.016,70
54.144,54
54.272,53
54.4,66
54.528,75
54.656,67
54.784,60
54.912,69
55.04,55
55.168,63
55.296,59
55.424,51
55.552,55
55.68,58
55.808,57
55.936,53
56.064,55
56.192,60
56.32,41
56.448,48
56.576,63
56.704,46
56.832,54
56.96,48
57.088,53
57.216,44
57.344,37
57.472,48
57.6,41
57.728,43
57.856,42
57.984,52
58.112,55
58.24,62
58.368,42
58.496,64
58.624,49
58.752,54
58.88,57
59.008,44
59.136,54
59.264,39
59.392,47
59.52,39
59.648,52
59.776,37
59.904,43
60.032,60
60.16,46
60.288,36
60.416,41
60.544,39
60.672,48
60.8,45
60.928,47
61.056,53
61.184,41
61.312,40
61.44,41
61.568,43
61.696,48
61.824,46
61.952,40
62.08,39
62.208,42
62.336,39
62.464,43
62.592,52
62.72,37
62.848,35
62.976,44
63.104,44
63.232,45
63.36,57
63.488,35
63.616,46
63.744,34
63.872,39
64,32
64.128,55
64.256,37
64.384,40
64.512,52
64.64,42
64.768,35
64.896,33
65.024,41
65.152,33
65.28,42
65.408,50
65.536,37
65.664,36
65.792,30
65.92,29
66.048,34
66.176,33
66.304,30
66.432,38
66.56,31
66.688,33
66.816,24
66.944,39
67.072,37
67.2,46
67.328,35
67.456,29
67.584,26
67.712,30
67.84,36
67.968,32
68.096,27
68.224,38
68.352,42
68.48,25
68.608,29
68.736,30
68.864,26
68.992,22
69.12,23
69.248,32
69.376,27
69.504,33
69.632,31
69.76,27
69.888,35
70.016,32
70.144,33
70.272,40
70.4,32
70.528,31
70.656,32
70.784,32
70.912,34
71.04,34
71.168,34
71.296,33
71.424,26
71.552,33
71.68,39
71.808,35
71.936,31
72.064,30
72.192,34
72.32,32
72.448,20
72.576,23
72.704,29
72.832,20
72.96,26
73.088,24
73.216,30
73.344,20
73.472,33
73.6,26
73.728,22
73.856,23
73.984,33
74.112,30
74.24,20
74.368,15
74.496,24
74.624,30
74.752,15
74.88,25
75.008,22
75.136,22
75.264,27
75.392,31
75.52,20
75.648,19
75.776,25
75.904,22
76.032,37
76.16,25
76.288,16
76.416,27
76.544,18
76.672,26
76.8,30
76.928,27
77.056,25
77.184,32
77.312,35
77.44,28
77.568,24
77.696,26
77.824,21
77.952,18
78.08,26
78.208,28
78.336,29
78.464,26
78.592,15
78.72,22
78.848,22
78.976,19
79.104,17
79.232,23
79.36,21
79.488,21
79.616,25
79.744,30
79.872,13
80,19
80.128,23
80.256,15
80.384,14
80.512,20
80.64,30
80.768,27
80.896,22
81.024,20
81.152,12
81.28,24
81.408,18
81.536,16
81.664,24
81.792,16
81.92,21
82.048,14
