Time (ns),Counts
0,5
0.128,2
0.256,1
0.384,1
0.512,4
0.64,1
0.768,4
0.896,1
1.024,1
1.152,1
1.28,4
1.408,3
1.536,0
1.664,2
1.792,0
1.92,3
2.048,0
2.176,3
2.304,3
2.432,2
2.56,6
2.688,5
2.816,3
2.944,4
3.072,2
3.2,2
3.328,6
3.456,2
3.584,2
3.712,4
3.84,7
3.968,4
4.096,2
4.224,3
4.352,7
4.48,6
4.608,4
4.736,2
4.864,1
4.992,0
5.12,2
5.248,4
5.376,2
5.504,4
5.632,5
5.76,3
5.888,3
6.016,2
6.144,4
6.272,2
6.4,2
6.528,6
6.656,3
6.784,2
6.912,2
7.04,2
7.168,2
7.296,6
7.424,1
7.552,4
7.68,4
7.808,5
7.936,2
8.064,2
8.192,3
8.32,1
8.448,7
8.576,3
8.704,1
8.832,2
8.96,3
9.088,3
9.216,2
9.344,2
9.472,7
9.6,2
9.728,4
9.856,3
9.984,5
10.112,5
10.24,2
10.368,5
10.496,2
10.624,2
10.752,3
10.88,2
11.008,2
11.136,1
11.264,4
11.392,3
11.52,2
11.648,2
11.776,6
11.904,1
12.032,1
12.16,0
12.288,4
12.416,5
12.544,1
12.672,2
12.8,2
12.928,2
13.056,4
13.184,3
13.312,7
13.44,3
13.568,5
13.696,1
13.824,3
13.952,4
14.08,1
14.208,4
14.336,1
14.464,5
14.592,2
14.72,1
14.848,0
14.976,4
15.104,4
15.232,2
15.36,3
15.488,1
15.616,8
15.744,0
15.872,5
16,1
16.128,6
16.256,1
16.384,2
16.512,3
16.64,2
16.768,5
16.896,4
17.024,3
17.152,2
17.28,4
17.408,2
17.536,4
17.664,5
17.792,5
17.92,0
18.048,3
18.176,1
18.304,2
18.432,4
18.56,4
18.688,3
18.816,3
18.944,4
19.072,3
19.2,2
19.328,4
19.456,3
19.584,2
19.712,2
19.84,5
19.968,3
20.096,2
20.224,3
20.352,4
20.48,1
20.608,2
20.736,3
20.864,4
20.992,4
21.12,4
21.248,4
21.376,5
21.504,3
21.632,4
21.76,4
21.888,1
22.016,4
22.144,6
22.272,2
22.4,2
22.528,2
22.656,2
22.784,2
22.912,3
23.04,2
23.168,2
23.296,2
23.424,1
23.552,1
23.68,1
23.808,1
23.936,3
24.064,5
24.192,6
24.32,1
24.448,2
24.576,2
24.704,4
24.832,2
24.96,0
25.088,4
25.216,4
25.344,2
25.472,2
25.6,5
25.728,5
25.856,1
25.984,1
26.112,3
26.24,7
26.368,1
26.496,3
26.624,3
26.752,2
26.88,0
27.008,0
27.136,5
27.264,3
27.392,1
27.52,2
27.648,1
27.776,1
27.904,0
28.032,1
28.16,6
28.288,2
28.416,5
28.544,1
28.672,2
28.8,1
28.928,1
29.056,4
29.184,1
29.312,4
29.44,1
29.568,4
29.696,6
29.824,5
29.952,4
30.08,5
30.208,2
30.336,6
30.464,5
30.592,1
30.72,3
30.848,2
30.976,5
31.104,2
31.232,18
31.36,60
31.488,132
31.616,193
31.744,235
31.872,323
32,316
32.128,379
32.256,400
32.384,365
32.512,376
32.64,392
32.768,383
32.896,364
33.024,370
33.152,361
33.28,338
33.408,313
33.536,321
33.664,327
33.792,281
33.92,316
34.048,330
34.176,322
34.304,302
34.432,274
34.56,277
34.688,275
34.816,282
34.944,284
35.072,271
35.2,277
35.328,292
35.456,261
35.584,274
35.712,240
35.84,234
35.968,251
36.096,252
36.224,247
36.352,283
36.48,207
36.608,235
36.736,256
36.864,257
36.992,236
37.12,230
37.248,222
37.376,216
37.504,258
37.632,222
37.76,225
37.888,232
38.016,220
38.144,210
38.272,187
38.4,224
38.528,207
38.656,200
38.784,200
38.912,218
39.04,204
39.168,198
39.296,190
39.424,198
39.552,197
39.68,199
39.808,210
39.936,197
40.064,190
40.192,212
40.32,188
40.448,202
40.576,190
40.704,186
40.832,190
40.96,207
41.088,203
41.216,184
41.344,169
41.472,186
41.6,175
41.728,186
41.856,179
41.984,173
42.112,171
42.24,187
42.368,183
42.496,167
42.624,169
42.752,177
42.88,164
43.008,171
43.136,170
43.264,139
43.392,155
43.52,179
43.648,184
43.776,170
43.904,152
44.032,164
44.16,182
44.288,179
44.416,161
44.544,147
44.672,151
44.8,160
44.928,138
45.056,139
45.184,169
45.312,153
45.44,127
45.568,142
45.696,150
45.824,146
45.952,159
46.08,147
46.208,125
46.336,127
46.464,134
46.592,140
46.72,146
46.848,153
46.976,143
47.104,162
47.232,116
47.36,116
47.488,141
47.616,137
47.744,139
47.872,136
48,134
48.128,122
48.256,126
48.384,137
48.512,134
48.64,132
48.768,129
48.896,136
49.024,137
49.152,125
49.28,107
49.408,114
49.536,116
49.664,107
49.792,113
49.92,134
50.048,121
50.176,106
50.304,123
50.432,115
50.56,114
50.688,112
50.816,106
50.944,125
51.072,106
51.2,100
51.328,122
51.456,107
51.584,110
51.712,118
51.84,107
51.968,111
52.096,104
52.224,114
52.352,95
52.48,104
52.608,109
52.736,99
52.864,114
52.992,118
53.12,94
53.248,95
53.376,96
53.504,93
53.632,73
53.76,109
53.888,88
54.016,107
54.144,108
54.272,92
54.4,101
54.528,95
54.656,85
54.784,106
54.912,99
55.04,111
55.168,106
55.296,89
55.424,101
55.552,101
55.68,92
55.808,86
55.936,99
56.064,110
56.192,87
56.32,85
56.448,116
56.576,102
56.704,84
56.832,82
56.96,96
57.088,88
57.216,102
57.344,95
57.472,94
57.6,84
57.728,117
57.856,95
57.984,84
58.112,82
58.24,81
58.368,73
58.496,77
58.624,79
58.752,97
58.88,72
59.008,89
59.136,82
59.264,95
59.392,77
59.52,75
59.648,93
59.776,84
59.904,62
60.032,72
60.16,81
60.288,92
60.416,83
60.544,74
60.672,74
60.8,82
60.928,63
61.056,62
61.184,72
61.312,83
61.44,84
61.568,78
61.696,74
61.824,86
61.952,76
62.08,79
62.208,70
62.336,64
62.464,77
62.592,73
62.72,77
62.848,78
62.976,59
63.104,74
63.232,87
63.36,78
63.488,66
63.616,83
63.744,62
63.872,67
64,72
64.128,85
64.256,68
64.384,66
64.512,53
64.64,71
64.768,57
64.896,59
65.024,61
65.152,77
65.28,58
65.408,69
65.536,64
65.664,70
65.792,53
65.92,68
66.048,46
66.176,68
66.304,52
66.432,55
66.56,56
66.688,57
66.816,67
66.944,57
67.072,51
67.2,49
67.328,70
67.456,74
67.584,57
67.712,70
67.84,54
67.968,77
68.096,64
68.224,55
68.352,66
68.48,72
68.608,71
68.736,56
68.864,46
68.992,80
69.12,43
69.248,49
69.376,60
69.504,47
69.632,52
69.76,62
69.888,52
70.016,50
70.144,54
70.272,52
70.4,65
70.528,73
70.656,44
70.784,52
70.912,50
71.04,45
71.168,60
71.296,61
71.424,41
71.552,47
71.68,59
71.808,55
71.936,48
72.064,49
72.192,54
72.32,53
72.448,39
72.576,40
72.704,52
72.832,51
72.96,56
73.088,45
73.216,74
73.344,44
73.472,58
73.6,46
73.728,49
73.856,50
73.984,55
74.112,46
74.24,36
74.368,50
74.496,61
74.624,59
74.752,42
74.88,51
75.008,43
75.136,58
75.264,40
75.392,49
75.52,35
75.648,60
75.776,50
75.904,60
76.032,49
76.16,45
76.288,37
76.416,60
76.544,53
76.672,44
76.8,49
76.928,36
77.056,47
77.184,51
77.312,57
77.44,24
77.568,47
77.696,53
77.824,44
77.952,49
78.08,38
78.208,45
78.336,41
78.464,33
78.592,35
78.72,44
78.848,35
78.976,34
79.104,44
79.232,39
79.36,46
79.488,40
79.616,42
79.744,46
79.872,37
80,45
80.128,31
80.256,39
80.384,38
80.512,41
80.64,36
80.768,37
80.896,41
81.024,40
81.152,38
81.28,42
81.408,41
81.536,48
81.664,35
81.792,44
81.92,36
82.048,31
