Time (ns),Counts
0,6
0.128,3
0.256,1
0.384,1
0.512,6
0.64,2
0.768,1
0.896,7
1.024,4
1.152,5
1.28,5
1.408,2
1.536,3
1.664,1
1.792,2
1.92,1
2.048,5
2.176,3
2.304,2
2.432,0
2.56,5
2.688,5
2.816,3
2.944,7
3.072,1
3.2,5
3.328,5
3.456,1
3.584,0
3.712,5
3.84,4
3.968,4
4.096,2
4.224,4
4.352,3
4.48,5
4.608,3
4.736,2
4.864,4
4.992,4
5.12,3
5.248,2
5.376,2
5.504,5
5.632,5
5.76,3
5.888,4
6.016,2
6.144,1
6.272,3
6.4,5
6.528,5
6.656,6
6.784,2
6.912,1
7.04,4
7.168,2
7.296,4
7.424,3
7.552,3
7.68,3
7.808,1
7.936,1
8.064,5
8.192,2
8.32,5
8.448,2
8.576,4
8.704,2
8.832,1
8.96,5
9.088,2
9.216,3
9.344,2
9.472,3
9.6,3
9.728,1
9.856,1
9.984,2
10.112,0
10.24,2
10.368,4
10.496,1
10.624,3
10.752,4
10.88,2
11.008,6
11.136,4
11.264,4
11.392,4
11.52,3
11.648,1
11.776,1
11.904,6
12.032,2
12.16,4
12.288,5
12.416,3
12.544,5
12.672,4
12.8,6
12.928,2
13.056,1
13.184,3
13.312,6
13.44,4
13.568,7
13.696,1
13.824,1
13.952,4
14.08,5
14.208,5
14.336,2
14.464,4
14.592,2
14.72,4
14.848,2
14.976,6
15.104,3
15.232,3
15.36,2
15.488,3
15.616,3
15.744,5
15.872,1
16,2
16.128,2
16.256,2
16.384,4
16.512,3
16.64,6
16.768,5
16.896,3
17.024,3
17.152,2
17.28,2
17.408,4
17.536,2
17.664,8
17.792,0
17.92,1
18.048,4
18.176,3
18.304,4
18.432,4
18.56,5
18.688,3
18.816,5
18.944,4
19.072,4
19.2,2
19.328,4
19.456,5
19.584,4
19.712,2
19.84,7
19.968,4
20.096,3
20.224,4
20.352,2
20.48,2
20.608,5
20.736,2
20.864,2
20.992,7
21.12,6
21.248,4
21.376,5
21.504,8
21.632,3
21.76,1
21.888,1
22.016,5
22.144,2
22.272,4
22.4,3
22.528,5
22.656,3
22.784,6
22.912,3
23.04,2
23.168,9
23.296,2
23.424,7
23.552,4
23.68,2
23.808,4
23.936,3
24.064,2
24.192,3
24.32,0
24.448,3
24.576,3
24.704,2
24.832,3
24.96,4
25.088,2
25.216,2
25.344,2
25.472,4
25.6,3
25.728,4
25.856,5
25.984,1
26.112,0
26.24,4
26.368,2
26.496,4
26.624,5
26.752,2
26.88,3
27.008,4
27.136,6
27.264,3
27.392,4
27.52,3
27.648,2
27.776,1
27.904,6
28.032,0
28.16,5
28.288,4
28.416,3
28.544,1
28.672,5
28.8,1
28.928,4
29.056,4
29.184,2
29.312,4
29.44,2
29.568,1
29.696,1
29.824,4
29.952,4
30.08,4
30.208,3
30.336,4
30.464,2
30.592,6
30.72,4
30.848,8
30.976,11
31.104,8
31.232,18
31.36,42
31.488,55
31.616,73
31.744,74
31.872,101
32,112
32.128,118
32.256,122
32.384,130
32.512,124
32.64,153
32.768,110
32.896,129
33.024,128
33.152,127
33.28,159
33.408,150
33.536,131
33.664,126
33.792,107
33.92,125
34.048,127
34.176,134
34.304,125
34.432,109
34.56,128
34.688,112
34.816,127
34.944,121
35.072,119
35.2,109
35.328,132
35.456,122
35.584,108
35.712,106
35.84,111
35.968,114
36.096,108
36.224,110
36.352,111
36.48,123
36.608,112
36.736,98
36.864,117
36.992,98
37.12,115
37.248,116
37.376,104
37.504,96
37.632,103
37.76,96
37.888,97
38.016,103
38.144,91
38.272,123
38.4,109
38.528,113
38.656,96
38.784,109
38.912,123
39.04,90
39.168,100
39.296,115
39.424,94
39.552,101
39.68,90
39.808,119
39.936,110
40.064,102
40.192,83
40.32,100
40.448,87
40.576,107
40.704,100
40.832,92
40.96,110
41.088,90
41.216,100
41.344,105
41.472,95
41.6,111
41.728,101
41.856,103
41.984,104
42.112,109
42.24,97
42.368,99
42.496,97
42.624,103
42.752,108
42.88,103
43.008,89
43.136,94
43.264,90
43.392,100
43.52,101
43.648,77
43.776,93
43.904,95
44.032,89
44.16,112
44.288,78
44.416,92
44.544,93
44.672,115
44.8,65
44.928,96
45.056,94
45.184,83
45.312,86
45.44,86
45.568,89
45.696,92
45.824,96
45.952,81
46.08,98
46.208,89
46.336,90
46.464,89
46.592,96
46.72,99
46.848,93
46.976,98
47.104,93
47.232,74
47.36,86
47.488,85
47.616,82
47.744,97
47.872,90
48,79
48.128,89
48.256,75
48.384,68
48.512,92
48.64,101
48.768,88
48.896,77
49.024,85
49.152,82
49.28,105
49.408,82
49.536,92
49.664,86
49.792,98
49.92,91
50.048,82
50.176,83
50.304,96
50.432,112
50.56,101
50.688,97
50.816,95
50.944,101
51.072,89
51.2,91
51.328,95
51.456,71
51.584,88
51.712,80
51.84,89
51.968,78
52.096,94
52.224,81
52.352,89
52.48,91
52.608,83
52.736,88
52.864,88
52.992,90
53.12,88
53.248,83
53.376,85
53.504,99
53.632,77
53.76,73
53.888,87
54.016,89
54.144,83
54.272,79
54.4,69
54.528,92
54.656,100
54.784,94
54.912,90
55.04,97
55.168,83
55.296,91
55.424,81
55.552,82
55.68,70
55.808,89
55.936,86
56.064,98
56.192,72
56.32,82
56.448,86
56.576,79
56.704,80
56.832,102
56.96,99
57.088,60
57.216,99
57.344,93
57.472,80
57.6,71
57.728,72
57.856,86
57.984,78
58.112,86
58.24,71
58.368,76
58.496,87
58.624,77
58.752,82
58.88,89
59.008,91
59.136,79
59.264,88
59.392,78
59.52,81
59.648,80
59.776,81
59.904,81
60.032,74
60.16,72
60.288,73
60.416,78
60.544,85
60.672,80
60.8,72
60.928,65
61.056,63
61.184,75
61.312,82
61.44,75
61.568,74
61.696,58
61.824,72
61.952,83
62.08,72
62.208,77
62.336,81
62.464,67
62.592,71
62.72,62
62.848,82
62.976,77
63.104,77
63.232,71
63.36,80
63.488,87
63.616,71
63.744,72
63.872,92
64,77
64.128,82
64.256,83
64.384,66
64.512,87
64.64,80
64.768,89
64.896,73
65.024,58
65.152,68
65.28,70
65.408,88
65.536,75
65.664,69
65.792,80
65.92,77
66.048,91
66.176,69
66.304,79
66.432,88
66.56,84
66.688,62
66.816,70
66.944,74
67.072,78
67.2,93
67.328,78
67.456,68
67.584,82
67.712,66
67.84,76
67.968,72
68.096,84
68.224,77
68.352,63
68.48,60
68.608,84
68.736,70
68.864,79
68.992,76
69.12,78
69.248,68
69.376,51
69.504,70
69.632,66
69.76,67
69.888,75
70.016,61
70.144,85
70.272,69
70.4,62
70.528,74
70.656,75
70.784,61
70.912,80
71.04,64
71.168,90
71.296,69
71.424,71
71.552,67
71.68,75
71.808,76
71.936,69
72.064,54
72.192,70
72.32,69
72.448,77
72.576,74
72.704,68
72.832,71
72.96,51
73.088,59
73.216,76
73.344,64
73.472,59
73.6,61
73.728,66
73.856,69
73.984,74
74.112,73
74.24,62
74.368,68
74.496,80
74.624,68
74.752,66
74.88,74
75.008,68
75.136,78
75.264,66
75.392,84
75.52,56
75.648,57
75.776,68
75.904,69
76.032,83
76.16,78
76.288,72
76.416,73
76.544,77
76.672,66
76.8,61
76.928,71
77.056,73
77.184,70
77.312,57
77.44,62
77.568,54
77.696,72
77.824,58
77.952,55
78.08,80
78.208,59
78.336,66
78.464,62
78.592,75
78.72,63
78.848,68
78.976,58
79.104,73
79.232,80
79.36,71
79.488,63
79.616,47
79.744,58
79.872,69
80,53
80.128,63
80.256,79
80.384,62
80.512,62
80.64,78
80.768,61
80.896,70
81.024,72
81.152,71
81.28,65
81.408,49
81.536,56
81.664,62
81.792,59
81.92,46
82.048,62
82.176,70
82.304,60
82.432,62
82.56,74
82.688,55
82.816,62
82.944,57
83.072,61
83.2,62
83.328,74
83.456,52
83.584,58
83.712,67
83.84,59
83.968,73
84.096,62
84.224,70
84.352,64
84.48,61
84.608,54
84.736,70
84.864,75
84.992,56
85.12,54
85.248,58
85.376,64
85.504,63
85.632,62
85.76,59
85.888,49
86.016,68
86.144,74
86.272,66
86.4,66
86.528,73
86.656,70
86.784,64
86.912,60
87.04,67
87.168,60
87.296,55
87.424,54
87.552,56
87.68,53
87.808,48
87.936,51
88.064,56
88.192,52
88.32,63
88.448,42
88.576,66
88.704,64
88.832,56
88.96,69
89.088,61
89.216,59
89.344,48
89.472,52
89.6,66
89.728,69
89.856,51
89.984,61
90.112,54
90.24,66
90.368,60
90.496,59
90.624,50
90.752,54
90.88,69
91.008,60
91.136,72
91.264,75
91.392,57
91.52,46
91.648,62
91.776,58
91.904,67
92.032,74
92.16,64
92.288,67
92.416,66
92.544,66
92.672,43
92.8,52
92.928,50
93.056,58
93.184,54
93.312,64
93.44,48
93.568,70
93.696,63
93.824,62
93.952,56
94.08,56
94.208,56
94.336,55
94.464,66
94.592,54
94.72,53
94.848,37
94.976,59
95.104,50
95.232,55
95.36,68
95.488,66
95.616,53
95.744,62
95.872,54
96,51
96.128,46
96.256,60
96.384,54
96.512,62
96.64,48
96.768,60
96.896,55
97.024,72
97.152,57
97.28,48
97.408,50
97.536,54
97.664,53
97.792,71
97.92,45
98.048,59
98.176,62
98.304,65
98.432,54
98.56,47
98.688,44
98.816,53
98.944,59
99.072,56
99.2,65
99.328,64
99.456,59
99.584,44
99.712,51
99.84,38
99.968,46
100.096,53
100.224,49
100.352,50
100.48,57
100.608,52
100.736,56
100.864,71
100.992,58
101.12,63
101.248,50
101.376,51
101.504,58
101.632,48
101.76,57
101.888,50
102.016,41
102.144,61
102.272,46
102.4,48
102.528,69
102.656,53
102.784,64
102.912,52
103.04,65
103.168,42
103.296,52
103.424,45
103.552,60
103.68,65
103.808,48
103.936,54
104.064,49
104.192,58
104.32,59
104.448,57
104.576,54
104.704,55
104.832,74
104.96,56
105.088,60
105.216,60
105.344,47
105.472,41
105.6,54
105.728,52
105.856,45
105.984,55
106.112,49
106.24,60
106.368,45
106.496,44
106.624,57
106.752,53
106.88,67
107.008,68
107.136,65
107.264,57
107.392,60
107.52,51
107.648,57
107.776,55
107.904,50
108.032,44
108.16,35
108.288,64
108.416,56
108.544,44
108.672,47
108.8,44
108.928,54
109.056,43
109.184,48
109.312,51
109.44,51
109.568,44
109.696,64
109.824,46
109.952,56
110.08,59
110.208,63
110.336,58
110.464,42
110.592,55
110.72,52
110.848,50
110.976,57
111.104,45
111.232,39
111.36,49
111.488,50
111.616,42
111.744,52
111.872,52
112,50
112.128,51
112.256,50
112.384,46
112.512,51
112.64,64
112.768,52
112.896,60
113.024,48
113.152,52
113.28,44
113.408,44
113.536,48
113.664,40
113.792,50
113.92,40
114.048,40
114.176,49
114.304,49
114.432,49
114.56,53
114.688,49
114.816,50
114.944,38
115.072,60
115.2,40
115.328,53
115.456,46
115.584,55
115.712,64
115.84,39
115.968,50
116.096,42
116.224,50
116.352,53
116.48,50
116.608,51
116.736,36
116.864,44
116.992,44
117.12,45
117.248,50
117.376,45
117.504,50
117.632,51
117.76,39
117.888,49
118.016,50
118.144,41
118.272,59
118.4,55
118.528,41
118.656,44
118.784,44
118.912,47
119.04,47
119.168,59
119.296,58
119.424,56
119.552,60
119.68,50
119.808,52
119.936,41
120.064,48
120.192,33
120.32,51
120.448,53
120.576,66
120.704,45
120.832,23
120.96,60
121.088,49
121.216,55
121.344,44
121.472,44
121.6,46
121.728,43
121.856,56
121.984,47
122.112,64
122.24,49
122.368,47
122.496,37
122.624,39
122.752,37
122.88,53
123.008,50
123.136,48
123.264,49
123.392,41
123.52,60
123.648,43
123.776,54
123.904,44
124.032,30
124.16,47
124.288,46
124.416,33
124.544,46
124.672,49
124.8,49
124.928,50
125.056,50
125.184,43
125.312,41
125.44,48
125.568,47
125.696,46
125.824,60
125.952,43
126.08,42
126.208,41
126.336,35
126.464,67
126.592,49
126.72,44
126.848,48
126.976,42
127.104,50
127.232,51
127.36,48
127.488,42
127.616,45
127.744,38
127.872,38
128,43
128.128,58
128.256,41
128.384,44
128.512,43
128.64,53
128.768,45
128.896,45
129.024,43
129.152,51
129.28,53
129.408,46
129.536,44
129.664,51
129.792,46
129.92,49
130.048,43
130.176,48
130.304,38
130.432,41
130.56,59
130.688,52
130.816,52
130.944,47
131.072,40
131.2,43
131.328,35
131.456,45
131.584,42
131.712,39
131.84,41
131.968,39
132.096,49
132.224,47
132.352,40
132.48,38
132.608,35
132.736,39
132.864,47
132.992,36
133.12,40
133.248,50
133.376,37
133.504,31
133.632,33
133.76,39
133.888,35
134.016,36
134.144,41
134.272,37
134.4,43
134.528,35
134.656,46
134.784,44
134.912,56
135.04,40
135.168,39
135.296,39
135.424,49
135.552,44
135.68,45
135.808,48
135.936,44
136.064,35
136.192,38
136.32,37
136.448,49
136.576,49
136.704,45
136.832,29
136.96,46
137.088,50
137.216,40
137.344,41
137.472,43
137.6,44
137.728,50
137.856,43
137.984,45
138.112,34
138.24,40
138.368,33
138.496,41
138.624,42
138.752,40
138.88,39
139.008,41
139.136,58
139.264,51
139.392,39
139.52,41
139.648,40
139.776,47
139.904,40
140.032,47
140.16,46
140.288,44
140.416,37
140.544,38
140.672,52
140.8,44
140.928,34
141.056,40
141.184,28
141.312,46
141.44,34
141.568,49
141.696,49
141.824,33
141.952,33
142.08,41
142.208,41
142.336,46
142.464,46
