Time (ns),Counts
0,4
0.128,5
0.256,1
0.384,1
0.512,5
0.64,1
0.768,2
0.896,2
1.024,5
1.152,3
1.28,6
1.408,6
1.536,0
1.664,5
1.792,4
1.92,4
2.048,3
2.176,8
2.304,3
2.432,8
2.56,4
2.688,4
2.816,2
2.944,2
3.072,2
3.2,2
3.328,2
3.456,6
3.584,5
3.712,2
3.84,4
3.968,2
4.096,5
4.224,2
4.352,1
4.48,3
4.608,2
4.736,6
4.864,2
4.992,5
5.12,3
5.248,5
5.376,3
5.504,2
5.632,4
5.76,4
5.888,5
6.016,5
6.144,5
6.272,5
6.4,6
6.528,1
6.656,1
6.784,6
6.912,2
7.04,2
7.168,4
7.296,4
7.424,1
7.552,2
7.68,3
7.808,5
7.936,2
8.064,1
8.192,5
8.32,4
8.448,3
8.576,2
8.704,2
8.832,2
8.96,2
9.088,2
9.216,2
9.344,1
9.472,2
9.6,2
9.728,3
9.856,2
9.984,2
10.112,3
10.24,1
10.368,3
10.496,3
10.624,5
10.752,2
10.88,3
11.008,1
11.136,3
11.264,4
11.392,2
11.52,3
11.648,0
11.776,1
11.904,3
12.032,5
12.16,0
12.288,3
12.416,3
12.544,4
12.672,5
12.8,2
12.928,0
13.056,1
13.184,4
13.312,3
13.44,5
13.568,1
13.696,2
13.824,0
13.952,2
14.08,2
14.208,2
14.336,3
14.464,3
14.592,3
14.72,1
14.848,5
14.976,2
15.104,3
15.232,2
15.36,1
15.488,3
15.616,6
15.744,4
15.872,3
16,5
16.128,3
16.256,3
16.384,4
16.512,2
16.64,4
16.768,5
16.896,2
17.024,3
17.152,2
17.28,3
17.408,2
17.536,3
17.664,2
17.792,1
17.92,2
18.048,4
18.176,4
18.304,5
18.432,5
18.56,4
18.688,0
18.816,2
18.944,0
19.072,3
19.2,2
19.328,3
19.456,4
19.584,1
19.712,2
19.84,3
19.968,2
20.096,0
20.224,3
20.352,2
20.48,4
20.608,2
20.736,1
20.864,2
20.992,1
21.12,1
21.248,3
21.376,0
21.504,2
21.632,0
21.76,7
21.888,2
22.016,2
22.144,2
22.272,5
22.4,4
22.528,4
22.656,1
22.784,1
22.912,3
23.04,5
23.168,1
23.296,2
23.424,3
23.552,3
23.68,4
23.808,1
23.936,1
24.064,3
24.192,3
24.32,3
24.448,4
24.576,2
24.704,4
24.832,4
24.96,2
25.088,2
25.216,1
25.344,5
25.472,5
25.6,4
25.728,0
25.856,1
25.984,1
26.112,4
26.24,3
26.368,2
26.496,3
26.624,3
26.752,2
26.88,3
27.008,3
27.136,1
27.264,0
27.392,4
27.52,3
27.648,4
27.776,2
27.904,2
28.032,5
28.16,1
28.288,1
28.416,2
28.544,1
28.672,6
28.8,3
28.928,3
29.056,3
29.184,4
29.312,1
29.44,3
29.568,4
29.696,3
29.824,2
29.952,1
30.08,2
30.208,1
30.336,0
30.464,6
30.592,3
30.72,1
30.848,11
30.976,13
31.104,22
31.232,34
31.36,43
31.488,79
31.616,127
31.744,192
31.872,182
32,187
32.128,214
32.256,255
32.384,220
32.512,202
32.64,237
32.768,257
32.896,238
33.024,236
33.152,272
33.28,240
33.408,233
33.536,254
33.664,242
33.792,223
33.92,216
34.048,235
34.176,206
34.304,199
34.432,206
34.56,250
34.688,234
34.816,218
34.944,207
35.072,199
35.2,216
35.328,225
35.456,226
35.584,198
35.712,212
35.84,199
35.968,217
36.096,216
36.224,229
36.352,203
36.48,199
36.608,177
36.736,215
36.864,190
36.992,206
37.12,195
37.248,187
37.376,200
37.504,190
37.632,191
37.76,194
37.888,199
38.016,213
38.144,179
38.272,159
38.4,213
38.528,198
38.656,188
38.784,193
38.912,199
39.04,198
39.168,163
39.296,185
39.424,187
39.552,189
39.68,163
39.808,169
39.936,161
40.064,204
40.192,181
40.32,179
40.448,172
40.576,190
40.704,170
40.832,174
40.96,195
41.088,199
41.216,174
41.344,163
41.472,185
41.6,190
41.728,172
41.856,166
41.984,175
42.112,165
42.24,197
42.368,159
42.496,161
42.624,163
42.752,193
42.88,177
43.008,185
43.136,179
43.264,188
43.392,172
43.52,176
43.648,178
43.776,169
43.904,184
44.032,175
44.16,161
44.288,159
44.416,144
44.544,156
44.672,150
44.8,176
44.928,184
45.056,162
45.184,150
45.312,146
45.44,159
45.568,153
45.696,157
45.824,158
45.952,164
46.08,173
46.208,150
46.336,169
46.464,162
46.592,169
46.72,189
46.848,174
46.976,162
47.104,140
47.232,156
47.36,191
47.488,159
47.616,177
47.744,170
47.872,163
48,165
48.128,180
48.256,163
48.384,169
48.512,149
48.64,164
48.768,167
48.896,151
49.024,156
49.152,159
49.28,141
49.408,155
49.536,155
49.664,139
49.792,151
49.92,159
50.048,162
50.176,144
50.304,140
50.432,159
50.56,160
50.688,157
50.816,142
50.944,124
51.072,151
51.2,172
51.328,154
51.456,157
51.584,141
51.712,137
51.84,170
51.968,145
52.096,169
52.224,156
52.352,155
52.48,150
52.608,150
52.736,164
52.864,129
52.992,151
53.12,134
53.248,170
53.376,153
53.504,152
53.632,153
53.76,130
53.888,168
54.016,148
54.144,155
54.272,145
54.4,146
54.528,171
54.656,160
54.784,138
54.912,143
55.04,158
55.168,164
55.296,146
55.424,137
55.552,146
55.68,149
55.808,140
55.936,142
56.064,143
56.192,155
56.32,107
56.448,143
56.576,131
56.704,140
56.832,122
56.96,122
57.088,134
57.216,137
57.344,154
57.472,153
57.6,125
57.728,123
57.856,133
57.984,146
58.112,138
58.24,157
58.368,137
58.496,144
58.624,118
58.752,136
58.88,139
59.008,145
59.136,138
59.264,127
59.392,122
59.52,146
59.648,121
59.776,145
59.904,143
60.032,129
60.16,140
60.288,142
60.416,151
60.544,129
60.672,131
60.8,155
60.928,135
61.056,124
61.184,124
