Time (ns),Counts
0,0
0.128,4
0.256,1
0.384,0
0.512,0
0.64,2
0.768,2
0.896,3
1.024,1
1.152,1
1.28,4
1.408,2
1.536,1
1.664,0
1.792,0
1.92,2
2.048,3
2.176,4
2.304,1
2.432,2
2.56,1
2.688,3
2.816,1
2.944,2
3.072,3
3.2,3
3.328,1
3.456,2
3.584,3
3.712,4
3.84,1
3.968,2
4.096,1
4.224,3
4.352,4
4.48,3
4.608,5
4.736,0
4.864,1
4.992,4
5.12,5
5.248,1
5.376,0
5.504,3
5.632,3
5.76,2
5.888,1
6.016,2
6.144,2
6.272,1
6.4,3
6.528,2
6.656,1
6.784,3
6.912,2
7.04,3
7.168,3
7.296,2
7.424,0
7.552,0
7.68,2
7.808,3
7.936,1
8.064,3
8.192,0
8.32,7
8.448,3
8.576,2
8.704,1
8.832,1
8.96,1
9.088,2
9.216,1
9.344,2
9.472,0
9.6,2
9.728,2
9.856,4
9.984,5
10.112,3
10.24,0
10.368,2
10.496,2
10.624,6
10.752,2
10.88,1
11.008,0
11.136,2
11.264,3
11.392,0
11.52,0
11.648,4
11.776,3
11.904,0
12.032,3
12.16,3
12.288,2
12.416,3
12.544,3
12.672,2
12.8,5
12.928,2
13.056,2
13.184,4
13.312,3
13.44,3
13.568,3
13.696,5
13.824,2
13.952,4
14.08,2
14.208,2
14.336,0
14.464,3
14.592,0
14.72,0
14.848,4
14.976,4
15.104,2
15.232,0
15.36,1
15.488,3
15.616,3
15.744,1
15.872,0
16,1
16.128,3
16.256,4
16.384,2
16.512,1
16.64,2
16.768,1
16.896,1
17.024,2
17.152,2
17.28,4
17.408,3
17.536,3
17.664,1
17.792,1
17.92,4
18.048,3
18.176,2
18.304,2
18.432,2
18.56,2
18.688,1
18.816,2
18.944,2
19.072,0
19.2,1
19.328,1
19.456,0
19.584,0
19.712,2
19.84,1
19.968,1
20.096,4
20.224,0
20.352,3
20.48,0
20.608,1
20.736,3
20.864,1
20.992,3
21.12,1
21.248,1
21.376,6
21.504,1
21.632,4
21.76,2
21.888,1
22.016,2
22.144,1
22.272,3
22.4,3
22.528,0
22.656,1
22.784,1
22.912,1
23.04,2
23.168,3
23.296,4
23.424,4
23.552,2
23.68,3
23.808,3
23.936,3
24.064,1
24.192,1
24.32,1
24.448,4
24.576,3
24.704,3
24.832,1
24.96,0
25.088,1
25.216,2
25.344,0
25.472,1
25.6,1
25.728,3
25.856,1
25.984,4
26.112,1
26.24,8
26.368,1
26.496,1
26.624,3
26.752,0
26.88,3
27.008,2
27.136,3
27.264,1
27.392,2
27.52,1
27.648,2
27.776,0
27.904,1
28.032,1
28.16,1
28.288,1
28.416,2
28.544,2
28.672,0
28.8,1
