Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
0,0,1,1,0,1,5,0,0,1,0,0,2,0,0,3,0,2,3
0.128,0,0,0,0,1,11,1,0,0,1,3,1,0,1,0,1,2,3
0.256,0,1,2,0,1,9,0,0,1,0,0,3,0,0,2,1,0,6
0.384,0,0,1,0,1,5,0,3,2,0,1,10,0,0,1,3,2,3
0.512,0,2,0,1,0,7,0,0,0,1,3,2,0,0,2,0,1,6
0.64,0,2,1,0,0,5,0,1,0,0,2,3,0,0,3,0,2,3
0.768,0,0,2,1,0,5,0,2,0,0,2,7,0,0,2,2,1,8
0.896,0,1,0,0,0,6,0,1,1,0,1,2,0,3,0,1,2,3
1.024,1,0,2,1,3,5,0,1,0,0,1,4,0,0,4,1,1,4
1.152,0,0,2,1,0,6,0,2,2,2,0,4,0,0,0,1,0,6
1.28,0,0,0,0,0,6,0,0,0,1,0,2,0,0,1,0,0,5
1.408,0,1,1,0,0,6,0,0,4,0,1,2,0,1,1,1,1,7
1.536,0,0,3,0,0,5,0,0,1,0,0,0,0,0,1,0,3,3
1.664,0,2,2,0,1,9,0,0,0,0,0,2,1,0,3,0,3,7
1.792,0,0,0,0,0,4,0,0,1,0,1,2,0,1,2,0,1,4
1.92,0,1,2,0,1,6,1,1,2,1,1,3,0,1,1,1,1,3
2.048,0,1,2,0,1,9,1,0,2,1,2,3,0,2,1,0,2,3
2.176,0,0,3,0,2,6,0,0,2,1,1,4,0,0,1,0,0,7
2.304,2,0,1,1,1,4,0,1,2,1,2,2,0,0,1,2,1,10
2.432,0,0,3,0,1,5,0,1,1,0,0,0,1,0,1,1,0,4
2.56,0,0,2,0,0,5,1,1,1,0,3,5,0,0,0,2,2,3
2.688,1,0,1,0,0,4,0,0,1,1,0,1,0,0,1,0,2,2
