#PicoHarp 300  Histogram Data			03/28/2023 02:18:46 PM
#channels per curve
15625
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0.1280	0.1280	0.1280	
#counts
0	2	3	
1	2	3	
1	0	6	
3	2	3	
0	1	6	
0	2	3	
2	1	8	
1	2	3	
1	1	4	
1	0	6	
0	0	5	
1	1	7	
0	3	3	
0	3	7	
0	1	4	
1	1	3	
0	2	3	
0	0	7	
2	1	10	
1	0	4	
2	2	3	
0	2	2	
0	4	2	
1	1	4	
0	0	2	
0	1	2	
1	1	2	
0	1	6	
0	2	4	
0	0	4	
0	1	4	
0	0	3	
0	2	4	
2	1	7	
0	1	5	
1	0	2	
0	2	4	
3	2	2	
0	2	3	
1	0	1	
1	1	5	
1	0	2	
0	4	4	
0	0	4	
2	1	6	
0	1	3	
0	2	5	
0	1	2	
1	3	3	
0	1	1	
0	1	6	
0	1	6	
2	1	3	
0	0	5	
1	0	8	
3	1	3	
0	1	5	
0	0	7	
1	1	3	
1	0	5	
0	0	2	
0	1	2	
0	1	5	
1	0	3	
0	2	4	
0	0	3	
1	0	4	
3	3	1	
0	2	6	
6	6	10	
13	11	18	
26	23	30	
32	33	46	
36	51	65	
58	55	67	
70	62	98	
61	61	71	
64	88	87	
90	75	78	
78	73	100	
77	85	72	
100	77	89	
84	91	67	
81	79	63	
69	76	75	
85	77	80	
67	76	61	
80	82	71	
67	67	64	
70	76	60	
70	71	66	
90	65	61	
77	66	78	
86	100	64	
81	85	64	
76	66	87	
83	48	71	
63	67	59	
66	62	62	
67	60	64	
68	62	61	
72	72	65	
49	73	54	
80	80	44	
63	76	63	
66	62	70	
79	56	62	
64	71	66	
67	63	69	
76	57	59	
85	56	59	
70	76	67	
72	70	76	
63	65	66	
80	64	62	
72	49	55	
62	55	55	
75	55	50	
72	56	55	
69	51	59	
73	56	57	
77	55	49	
58	62	47	
75	61	67	
63	49	46	
66	49	61	
60	49	56	
63	81	53	
67	68	59	
55	54	42	
66	69	57	
89	61	66	
57	47	60	
61	51	64	
56	58	53	
56	42	50	
57	58	56	
62	62	50	
47	45	42	
63	65	45	
87	57	48	
50	41	48	
62	61	55	
60	52	54	
57	56	53	
51	61	52	
48	57	55	
52	55	46	
61	50	40	
62	62	54	
59	47	57	
63	57	33	
53	50	62	
47	46	54	
44	62	49	
54	59	58	
60	43	42	
56	47	35	
44	56	45	
57	47	57	
63	60	37	
57	50	45	
54	44	34	
56	40	37	
55	45	56	
60	49	46	
52	50	53	
54	52	46	
67	39	52	
53	42	34	
60	43	45	
61	61	50	
56	49	60	
59	52	43	
45	66	48	
68	62	37	
46	46	44	
62	36	48	
62	47	35	
53	55	44	
59	49	51	
54	38	49	
56	42	44	
42	47	49	
52	45	57	
43	38	46	
43	45	39	
65	45	29	
53	50	48	
47	47	45	
66	45	39	
62	43	51	
44	33	40	
54	39	41	
57	40	44	
51	54	29	
41	41	54	
46	48	47	
43	54	41	
50	42	41	
49	52	48	
53	52	42	
47	38	43	
51	55	38	
54	60	46	
54	44	42	
47	50	46	
54	49	50	
46	39	53	
56	32	41	
58	43	39	
49	52	40	
57	55	37	
46	45	36	
53	40	50	
45	42	38	
41	53	36	
47	42	41	
52	41	47	
45	48	34	
49	46	39	
33	40	47	
46	49	45	
48	40	46	
42	45	42	
51	49	34	
31	32	50	
48	43	41	
42	43	38	
45	33	35	
48	43	48	
53	50	44	
49	48	55	
53	32	47	
48	48	37	
49	32	42	
36	44	41	
40	45	43	
53	45	41	
44	41	40	
38	47	30	
44	45	41	
55	43	45	
42	45	49	
40	43	36	
25	48	41	
45	42	35	
45	35	35	
46	41	42	
39	42	37	
46	28	41	
57	43	29	
42	42	33	
42	49	37	
53	40	43	
49	46	40	
38	67	30	
48	39	39	
30	41	46	
50	42	39	
42	43	29	
42	29	27	
45	39	36	
44	39	37	
47	42	39	
38	37	37	
44	41	45	
47	44	39	
40	32	37	
47	30	31	
43	27	26	
45	34	48	
54	35	39	
31	26	40	
39	41	34	
43	40	35	
37	34	45	
47	34	56	
47	39	30	
32	34	37	
31	41	40	
54	40	37	
29	33	38	
41	32	26	
40	25	37	
33	34	40	
46	39	36	
34	28	34	
30	37	26	
35	41	33	
42	41	43	
42	36	34	
33	39	42	
44	37	36	
39	42	39	
44	31	33	
36	47	26	
29	36	40	
36	27	31	
34	35	31	
46	31	33	
38	29	43	
28	40	29	
39	41	28	
37	28	44	
46	29	22	
38	32	38	
40	34	44	
34	34	35	
36	33	28	
37	42	31	
38	38	40	
41	32	36	
31	39	34	
39	40	26	
32	35	28	
29	31	32	
32	39	36	
25	32	27	
30	19	23	
43	26	30	
33	23	32	
33	44	29	
37	36	34	
34	28	41	
32	24	38	
44	33	29	
29	38	34	
27	45	39	
19	34	34	
30	50	24	
27	35	25	
31	30	40	
35	40	31	
39	35	38	
20	32	49	
50	33	33	
33	26	35	
33	29	47	
33	26	34	
40	30	29	
29	27	31	
46	34	40	
49	25	36	
36	39	32	
38	26	34	
42	31	31	
45	35	30	
34	36	28	
34	26	34	
29	41	25	
31	34	26	
30	39	29	
50	42	28	
43	37	33	
26	29	39	
32	36	29	
37	36	36	
40	30	32	
40	32	28	
42	27	32	
35	41	28	
26	33	34	
29	34	24	
22	31	40	
32	23	44	
34	34	31	
27	35	23	
19	47	36	
25	26	39	
40	30	30	
42	33	37	
48	36	24	
36	19	35	
29	29	29	
