#PicoHarp 300  Histogram Data			03/28/2023 11:55:03 AM
#channels per curve
15625
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0.1280	0.1280	0.1280	
#counts
0	1	5	
0	1	11	
0	1	9	
0	1	5	
1	0	7	
0	0	5	
1	0	5	
0	0	6	
1	3	5	
1	0	6	
0	0	6	
0	0	6	
0	0	5	
0	1	9	
0	0	4	
0	1	6	
0	1	9	
0	2	6	
1	1	4	
0	1	5	
0	0	5	
0	0	4	
0	2	5	
1	1	8	
0	0	4	
0	1	5	
0	1	5	
2	0	2	
0	0	6	
0	2	2	
2	1	8	
1	2	7	
1	1	4	
0	0	11	
1	3	7	
0	3	7	
0	1	2	
0	0	3	
0	1	8	
0	0	4	
0	0	6	
0	0	3	
0	0	9	
0	2	6	
0	1	3	
1	1	6	
0	2	3	
0	1	5	
1	3	2	
2	2	4	
0	0	9	
2	0	5	
0	0	3	
1	1	5	
0	0	5	
0	3	5	
0	3	10	
0	0	10	
1	2	3	
1	1	5	
0	2	4	
1	2	3	
0	1	5	
0	0	12	
0	2	7	
2	1	3	
0	3	7	
3	0	10	
3	6	8	
11	5	10	
19	20	23	
20	27	37	
37	37	66	
49	49	86	
46	71	92	
65	72	100	
95	92	91	
88	89	75	
67	85	98	
90	88	93	
99	71	77	
93	98	77	
77	75	91	
85	83	80	
80	86	87	
89	75	71	
71	79	86	
70	100	72	
76	73	70	
96	75	90	
88	73	69	
91	74	62	
72	69	76	
100	78	53	
76	80	85	
99	74	70	
79	79	72	
86	89	70	
78	74	81	
79	77	82	
69	79	74	
73	77	58	
85	90	79	
75	59	65	
75	79	69	
77	80	69	
82	66	61	
100	75	66	
79	67	77	
89	68	70	
80	73	87	
70	71	74	
69	56	64	
64	71	66	
79	60	60	
79	55	72	
62	65	63	
84	58	57	
74	72	71	
90	94	83	
84	79	67	
71	79	71	
80	72	75	
57	72	72	
71	75	89	
58	72	66	
76	68	47	
81	69	65	
64	60	70	
64	63	78	
60	63	70	
66	68	83	
62	72	52	
64	73	70	
58	62	63	
60	65	66	
57	63	74	
76	87	74	
65	80	70	
74	63	65	
63	74	65	
64	59	67	
78	53	62	
60	64	69	
74	65	74	
63	63	68	
73	61	60	
78	60	62	
89	68	71	
63	54	60	
78	59	66	
57	55	67	
59	77	66	
66	64	66	
68	55	60	
72	71	66	
70	67	57	
70	52	62	
61	72	78	
63	70	73	
71	49	62	
59	57	68	
67	50	68	
65	57	63	
61	81	44	
82	60	67	
62	59	59	
65	73	55	
62	65	71	
57	64	70	
47	73	52	
52	62	69	
83	54	55	
65	54	72	
80	57	56	
43	51	69	
62	82	57	
70	50	57	
70	53	64	
60	61	54	
61	60	61	
78	63	72	
59	70	70	
50	64	51	
56	60	62	
61	68	68	
69	75	54	
57	69	72	
72	46	48	
59	71	63	
68	62	65	
54	68	63	
67	64	75	
52	63	74	
55	58	63	
65	68	65	
74	69	69	
47	66	49	
63	44	57	
67	71	70	
74	73	57	
65	50	58	
63	52	62	
71	62	77	
62	65	78	
56	62	55	
58	55	55	
64	66	50	
71	61	76	
72	46	57	
63	65	69	
57	63	59	
62	60	58	
65	71	71	
69	53	44	
62	57	60	
61	54	63	
64	51	64	
63	64	52	
62	58	68	
70	50	57	
60	60	49	
58	57	77	
58	60	52	
47	58	76	
52	69	66	
47	49	45	
59	52	63	
58	60	79	
54	53	72	
52	58	47	
71	64	62	
63	53	58	
55	71	68	
64	62	55	
50	70	61	
51	63	71	
59	62	70	
59	62	49	
49	50	54	
65	45	74	
58	58	58	
36	48	61	
43	51	53	
62	59	54	
58	55	51	
47	62	67	
49	69	61	
61	49	65	
57	58	50	
61	60	47	
62	46	74	
55	53	47	
67	67	80	
50	47	47	
48	60	56	
53	57	65	
55	51	61	
70	51	55	
60	51	61	
55	48	62	
57	70	47	
52	44	73	
56	58	55	
48	62	53	
45	48	51	
47	57	52	
57	67	69	
54	49	56	
60	60	79	
50	51	65	
70	55	56	
54	64	55	
64	51	60	
63	52	56	
61	53	61	
57	45	66	
51	44	58	
49	43	46	
53	58	55	
53	44	49	
56	53	62	
50	63	63	
49	52	59	
45	64	69	
53	47	61	
54	56	72	
57	52	79	
65	50	58	
59	54	66	
45	53	52	
50	53	56	
62	59	73	
47	48	54	
43	48	70	
65	41	57	
54	53	43	
47	56	61	
47	60	60	
66	50	49	
50	48	62	
56	50	50	
62	56	64	
41	52	52	
52	36	61	
59	54	69	
53	52	59	
39	57	47	
59	50	70	
40	55	55	
62	43	58	
47	62	57	
50	58	56	
38	50	51	
43	64	72	
49	54	61	
54	53	54	
49	49	52	
48	57	53	
39	49	44	
51	64	54	
62	51	50	
41	65	72	
47	35	62	
60	46	59	
39	50	67	
50	53	46	
43	50	39	
39	55	60	
47	52	69	
57	41	66	
35	48	61	
52	53	60	
59	48	70	
49	48	62	
56	51	56	
61	49	63	
48	63	52	
50	44	60	
54	51	55	
54	51	50	
48	54	68	
43	48	64	
47	45	62	
41	53	59	
59	56	45	
52	52	71	
44	52	51	
52	55	67	
36	39	64	
52	38	56	
41	53	57	
56	56	53	
52	48	70	
41	51	61	
33	57	56	
47	64	51	
40	36	51	
59	42	57	
46	52	58	
61	54	57	
45	47	50	
48	37	58	
53	50	72	
59	49	62	
52	43	58	
44	33	69	
52	40	58	
45	51	61	
42	49	65	
32	43	60	
47	43	51	
55	40	53	
38	57	66	
49	48	65	
