Labels	APTMS_Br15_1M_1MHz_0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

0.00	0.00000000E+0	
0.48828125	0.00000000E+0	
0.97656250	0.00000000E+0	
1.4648438	0.00000000E+0	
1.9531250	0.00000000E+0	
2.4414063	0.00000000E+0	
2.9296875	0.00000000E+0	
3.4179688	0.00000000E+0	
3.906250	0.00000000E+0	
4.3945313	0.00000000E+0	
4.8828125	0.00000000E+0	
5.3710938	0.00000000E+0	
5.8593750	0.00000000E+0	
6.3476563	0.00000000E+0	
6.8359375	0.00000000E+0	
7.3242188	0.00000000E+0	
7.81250	0.00000000E+0	
8.3007813	0.00000000E+0	
8.7890625	0.00000000E+0	
9.2773438	0.00000000E+0	
9.7656250	0.00000000E+0	
10.253906	0.00000000E+0	
10.742188	0.00000000E+0	
11.230469	0.00000000E+0	
11.718750	0.00000000E+0	
12.207031	0.00000000E+0	
12.695313	0.00000000E+0	
13.183594	0.00000000E+0	
13.671875	0.00000000E+0	
14.160156	0.00000000E+0	
14.648438	0.00000000E+0	
15.136719	0.00000000E+0	
15.6250	0.00000000E+0	
16.113281	0.00000000E+0	
16.601563	0.00000000E+0	
17.089844	0.00000000E+0	
17.578125	0.00000000E+0	
18.066406	0.00000000E+0	
18.554688	0.00000000E+0	
19.042969	0.00000000E+0	
19.531250	0.00000000E+0	
20.019531	0.00000000E+0	
20.507813	0.00000000E+0	
20.996094	0.00000000E+0	
21.484375	0.00000000E+0	
21.972656	0.00000000E+0	
22.460938	0.00000000E+0	
22.949219	0.00000000E+0	
23.43750	0.00000000E+0	
23.925781	0.00000000E+0	
24.414063	0.00000000E+0	
24.902344	0.00000000E+0	
25.390625	0.00000000E+0	
25.878906	0.00000000E+0	
26.367188	0.00000000E+0	
26.855469	0.00000000E+0	
27.343750	0.00000000E+0	
27.832031	0.00000000E+0	
28.320313	0.00000000E+0	
28.808594	0.00000000E+0	
29.296875	0.00000000E+0	
29.785156	3.20000000E+1	
30.273438	1.02000000E+2	
30.761719	1.00000000E+2	
31.250	7.40000000E+1	
31.738281	6.80000000E+1	
32.226563	8.00000000E+1	
32.714844	6.60000000E+1	
33.203125	5.30000000E+1	
33.691406	5.60000000E+1	
34.179688	6.30000000E+1	
34.667969	6.70000000E+1	
35.156250	5.60000000E+1	
35.644531	5.70000000E+1	
36.132813	4.90000000E+1	
36.621094	5.90000000E+1	
37.109375	4.40000000E+1	
37.597656	5.80000000E+1	
38.085938	6.60000000E+1	
38.574219	4.90000000E+1	
39.06250	5.70000000E+1	
39.550781	6.00000000E+1	
40.039063	6.70000000E+1	
40.527344	4.50000000E+1	
41.015625	5.80000000E+1	
41.503906	6.30000000E+1	
41.992188	4.90000000E+1	
42.480469	5.80000000E+1	
42.968750	6.30000000E+1	
43.457031	5.10000000E+1	
43.945313	5.40000000E+1	
44.433594	4.70000000E+1	
44.921875	5.10000000E+1	
45.410156	5.60000000E+1	
45.898438	4.60000000E+1	
46.386719	6.30000000E+1	
46.8750	5.90000000E+1	
47.363281	4.00000000E+1	
47.851563	5.70000000E+1	
48.339844	5.60000000E+1	
48.828125	6.90000000E+1	
49.316406	9.50000000E+1	
49.804688	1.67000000E+2	
50.292969	2.21000000E+2	
50.781250	2.62000000E+2	
51.269531	2.46000000E+2	
51.757813	2.27000000E+2	
52.246094	2.16000000E+2	
52.734375	2.39000000E+2	
53.222656	2.49000000E+2	
53.710938	2.42000000E+2	
54.199219	2.28000000E+2	
54.68750	2.34000000E+2	
55.175781	2.13000000E+2	
55.664063	2.08000000E+2	
56.152344	2.15000000E+2	
56.640625	2.15000000E+2	
57.128906	1.96000000E+2	
57.617188	2.52000000E+2	
58.105469	2.09000000E+2	
58.593750	1.99000000E+2	
59.082031	2.01000000E+2	
59.570313	2.12000000E+2	
60.058594	2.11000000E+2	
60.546875	2.29000000E+2	
61.035156	2.06000000E+2	
61.523438	2.09000000E+2	
62.011719	1.80000000E+2	
62.50	1.73000000E+2	
62.988281	2.12000000E+2	
63.476563	2.18000000E+2	
63.964844	2.00000000E+2	
64.453125	2.05000000E+2	
64.941406	1.95000000E+2	
65.429688	1.99000000E+2	
65.917969	2.32000000E+2	
66.406250	1.90000000E+2	
66.894531	2.03000000E+2	
67.382813	1.93000000E+2	
67.871094	2.10000000E+2	
68.359375	2.00000000E+2	
68.847656	1.96000000E+2	
69.335938	1.91000000E+2	
69.824219	2.08000000E+2	
70.31250	2.09000000E+2	
70.800781	2.03000000E+2	
71.289063	2.07000000E+2	
71.777344	1.89000000E+2	
72.265625	2.00000000E+2	
72.753906	1.56000000E+2	
73.242188	2.06000000E+2	
73.730469	1.90000000E+2	
74.218750	1.92000000E+2	
74.707031	1.93000000E+2	
75.195313	2.17000000E+2	
75.683594	1.85000000E+2	
76.171875	1.55000000E+2	
76.660156	2.08000000E+2	
77.148438	1.92000000E+2	
77.636719	1.86000000E+2	
78.1250	1.67000000E+2	
78.613281	1.82000000E+2	
79.101563	1.83000000E+2	
79.589844	1.82000000E+2	
80.078125	1.70000000E+2	
80.566406	1.69000000E+2	
81.054688	2.07000000E+2	
81.542969	2.01000000E+2	
82.031250	1.86000000E+2	
82.519531	2.03000000E+2	
83.007813	1.83000000E+2	
83.496094	1.90000000E+2	
83.984375	1.75000000E+2	
84.472656	2.13000000E+2	
84.960938	1.82000000E+2	
85.449219	1.83000000E+2	
85.93750	1.69000000E+2	
86.425781	1.77000000E+2	
86.914063	2.00000000E+2	
87.402344	2.16000000E+2	
87.890625	1.93000000E+2	
88.378906	1.78000000E+2	
88.867188	1.72000000E+2	
89.355469	1.94000000E+2	
89.843750	1.75000000E+2	
90.332031	1.72000000E+2	
90.820313	1.78000000E+2	
91.308594	1.73000000E+2	
91.796875	1.96000000E+2	
92.285156	1.57000000E+2	
92.773438	1.68000000E+2	
93.261719	1.82000000E+2	
93.750	1.69000000E+2	
94.238281	2.01000000E+2	
94.726563	1.94000000E+2	
95.214844	2.00000000E+2	
95.703125	1.96000000E+2	
96.191406	2.02000000E+2	
96.679688	1.84000000E+2	
97.167969	1.80000000E+2	
97.656250	1.79000000E+2	
98.144531	1.93000000E+2	
98.632813	1.67000000E+2	
99.121094	1.68000000E+2	
99.609375	1.81000000E+2	
100.097660	1.75000000E+2	
100.585940	1.96000000E+2	
101.074220	1.75000000E+2	
101.562500	1.81000000E+2	
102.050780	1.75000000E+2	
102.539060	1.79000000E+2	
103.027340	1.50000000E+2	
103.515630	1.83000000E+2	
104.003910	1.64000000E+2	
104.492190	1.88000000E+2	
104.980470	1.90000000E+2	
105.468750	1.88000000E+2	
105.95700	1.79000000E+2	
106.445310	1.86000000E+2	
106.933590	1.62000000E+2	
107.421880	1.69000000E+2	
107.910160	1.99000000E+2	
108.398440	1.72000000E+2	
108.886720	1.75000000E+2	
109.37500	1.80000000E+2	
109.863280	1.91000000E+2	
110.351560	1.89000000E+2	
110.839840	1.89000000E+2	
111.328130	1.71000000E+2	
111.816410	1.63000000E+2	
112.304690	1.57000000E+2	
112.79300	1.88000000E+2	
113.281250	1.91000000E+2	
113.769530	1.72000000E+2	
114.257810	1.71000000E+2	
114.746090	1.65000000E+2	
115.234380	1.81000000E+2	
115.722660	1.86000000E+2	
116.210940	1.88000000E+2	
116.699220	1.59000000E+2	
117.187500	1.66000000E+2	
117.675780	1.79000000E+2	
118.164060	1.78000000E+2	
118.652340	1.76000000E+2	
119.140630	1.72000000E+2	
119.628910	1.73000000E+2	
120.117190	1.66000000E+2	
120.605470	1.49000000E+2	
121.093750	1.65000000E+2	
121.58200	1.73000000E+2	
122.070310	1.75000000E+2	
122.558590	1.78000000E+2	
123.046880	1.55000000E+2	
123.535160	1.67000000E+2	
124.023440	1.75000000E+2	
124.511720	2.07000000E+2	
125.00	1.79000000E+2	
125.488280	1.70000000E+2	
125.976560	1.71000000E+2	
126.464840	1.92000000E+2	
126.953130	1.91000000E+2	
127.441410	1.80000000E+2	
127.929690	1.63000000E+2	
128.41800	1.55000000E+2	
128.906250	1.71000000E+2	
129.394530	1.57000000E+2	
129.882810	1.82000000E+2	
130.371090	1.49000000E+2	
130.859380	1.77000000E+2	
131.347660	1.56000000E+2	
131.835940	1.79000000E+2	
132.324220	1.60000000E+2	
132.812500	1.71000000E+2	
133.300780	1.61000000E+2	
133.789060	1.83000000E+2	
134.277340	1.67000000E+2	
134.765630	1.54000000E+2	
135.253910	1.60000000E+2	
135.742190	1.49000000E+2	
136.230470	1.66000000E+2	
136.718750	1.67000000E+2	
137.20700	1.52000000E+2	
137.695310	1.65000000E+2	
138.183590	1.65000000E+2	
138.671880	1.63000000E+2	
139.160160	1.80000000E+2	
139.648440	1.62000000E+2	
140.136720	1.58000000E+2	
140.62500	1.66000000E+2	
141.113280	1.74000000E+2	
141.601560	1.59000000E+2	
142.089840	1.80000000E+2	
142.578130	1.53000000E+2	
143.066410	1.73000000E+2	
143.554690	1.61000000E+2	
144.04300	1.56000000E+2	
144.531250	1.67000000E+2	
145.019530	1.65000000E+2	
145.507810	1.82000000E+2	
145.996090	1.73000000E+2	
146.484380	1.68000000E+2	
146.972660	1.65000000E+2	
147.460940	1.63000000E+2	
147.949220	1.73000000E+2	
148.437500	1.70000000E+2	
148.925780	1.71000000E+2	
